Trial,Motor,Response,Timestamp,PID,Device Type
1,2,1,Sat Mar 15 2025 22:57:12 GMT-0400 (Eastern Daylight Time),1,necklace
2,0,0,Sat Mar 15 2025 22:57:15 GMT-0400 (Eastern Daylight Time),1,necklace
3,2,1,Sat Mar 15 2025 22:57:18 GMT-0400 (Eastern Daylight Time),1,necklace
4,4,3,Sat Mar 15 2025 22:57:21 GMT-0400 (Eastern Daylight Time),1,necklace
5,0,0,Sat Mar 15 2025 22:57:24 GMT-0400 (Eastern Daylight Time),1,necklace
6,2,1,Sat Mar 15 2025 22:57:27 GMT-0400 (Eastern Daylight Time),1,necklace
7,2,2,Sat Mar 15 2025 22:57:30 GMT-0400 (Eastern Daylight Time),1,necklace
8,0,0,Sat Mar 15 2025 22:57:33 GMT-0400 (Eastern Daylight Time),1,necklace
9,1,1,Sat Mar 15 2025 22:57:36 GMT-0400 (Eastern Daylight Time),1,necklace
10,4,4,Sat Mar 15 2025 22:57:39 GMT-0400 (Eastern Daylight Time),1,necklace
11,0,0,Sat Mar 15 2025 22:57:42 GMT-0400 (Eastern Daylight Time),1,necklace
12,1,1,Sat Mar 15 2025 22:57:45 GMT-0400 (Eastern Daylight Time),1,necklace
13,4,3,Sat Mar 15 2025 22:57:49 GMT-0400 (Eastern Daylight Time),1,necklace
14,4,5,Sat Mar 15 2025 22:57:53 GMT-0400 (Eastern Daylight Time),1,necklace
15,1,1,Sat Mar 15 2025 22:57:56 GMT-0400 (Eastern Daylight Time),1,necklace
16,4,4,Sat Mar 15 2025 22:58:00 GMT-0400 (Eastern Daylight Time),1,necklace
17,2,2,Sat Mar 15 2025 22:58:03 GMT-0400 (Eastern Daylight Time),1,necklace
18,3,3,Sat Mar 15 2025 22:58:06 GMT-0400 (Eastern Daylight Time),1,necklace
19,4,5,Sat Mar 15 2025 22:58:10 GMT-0400 (Eastern Daylight Time),1,necklace
20,3,3,Sat Mar 15 2025 22:58:14 GMT-0400 (Eastern Daylight Time),1,necklace
21,5,5,Sat Mar 15 2025 22:58:17 GMT-0400 (Eastern Daylight Time),1,necklace
22,3,3,Sat Mar 15 2025 22:58:21 GMT-0400 (Eastern Daylight Time),1,necklace
23,0,0,Sat Mar 15 2025 22:58:24 GMT-0400 (Eastern Daylight Time),1,necklace
24,1,1,Sat Mar 15 2025 22:58:26 GMT-0400 (Eastern Daylight Time),1,necklace
25,0,0,Sat Mar 15 2025 22:58:29 GMT-0400 (Eastern Daylight Time),1,necklace
26,2,2,Sat Mar 15 2025 22:58:32 GMT-0400 (Eastern Daylight Time),1,necklace
27,4,4,Sat Mar 15 2025 22:58:36 GMT-0400 (Eastern Daylight Time),1,necklace
28,1,1,Sat Mar 15 2025 22:58:39 GMT-0400 (Eastern Daylight Time),1,necklace
29,3,3,Sat Mar 15 2025 22:58:42 GMT-0400 (Eastern Daylight Time),1,necklace
30,3,3,Sat Mar 15 2025 22:58:45 GMT-0400 (Eastern Daylight Time),1,necklace
31,5,4,Sat Mar 15 2025 22:58:48 GMT-0400 (Eastern Daylight Time),1,necklace
32,0,0,Sat Mar 15 2025 22:58:52 GMT-0400 (Eastern Daylight Time),1,necklace
33,5,5,Sat Mar 15 2025 22:58:55 GMT-0400 (Eastern Daylight Time),1,necklace
34,1,1,Sat Mar 15 2025 22:58:58 GMT-0400 (Eastern Daylight Time),1,necklace
35,2,2,Sat Mar 15 2025 22:59:01 GMT-0400 (Eastern Daylight Time),1,necklace
36,1,0,Sat Mar 15 2025 22:59:05 GMT-0400 (Eastern Daylight Time),1,necklace
37,4,4,Sat Mar 15 2025 22:59:08 GMT-0400 (Eastern Daylight Time),1,necklace
38,5,5,Sat Mar 15 2025 22:59:11 GMT-0400 (Eastern Daylight Time),1,necklace
39,2,1,Sat Mar 15 2025 22:59:14 GMT-0400 (Eastern Daylight Time),1,necklace
40,5,4,Sat Mar 15 2025 22:59:17 GMT-0400 (Eastern Daylight Time),1,necklace
41,0,0,Sat Mar 15 2025 22:59:20 GMT-0400 (Eastern Daylight Time),1,necklace
42,3,3,Sat Mar 15 2025 22:59:23 GMT-0400 (Eastern Daylight Time),1,necklace
43,0,0,Sat Mar 15 2025 22:59:26 GMT-0400 (Eastern Daylight Time),1,necklace
44,5,5,Sat Mar 15 2025 22:59:29 GMT-0400 (Eastern Daylight Time),1,necklace
45,1,1,Sat Mar 15 2025 22:59:32 GMT-0400 (Eastern Daylight Time),1,necklace
46,5,4,Sat Mar 15 2025 22:59:35 GMT-0400 (Eastern Daylight Time),1,necklace
47,3,3,Sat Mar 15 2025 22:59:38 GMT-0400 (Eastern Daylight Time),1,necklace
48,4,4,Sat Mar 15 2025 22:59:41 GMT-0400 (Eastern Daylight Time),1,necklace
49,5,5,Sat Mar 15 2025 22:59:44 GMT-0400 (Eastern Daylight Time),1,necklace
50,3,3,Sat Mar 15 2025 22:59:47 GMT-0400 (Eastern Daylight Time),1,necklace
51,1,1,Sat Mar 15 2025 22:59:49 GMT-0400 (Eastern Daylight Time),1,necklace
52,5,4,Sat Mar 15 2025 22:59:52 GMT-0400 (Eastern Daylight Time),1,necklace
53,2,2,Sat Mar 15 2025 22:59:56 GMT-0400 (Eastern Daylight Time),1,necklace
54,4,4,Sat Mar 15 2025 22:59:59 GMT-0400 (Eastern Daylight Time),1,necklace
55,3,3,Sat Mar 15 2025 23:00:01 GMT-0400 (Eastern Daylight Time),1,necklace
56,3,3,Sat Mar 15 2025 23:00:05 GMT-0400 (Eastern Daylight Time),1,necklace
57,2,2,Sat Mar 15 2025 23:00:07 GMT-0400 (Eastern Daylight Time),1,necklace
58,5,4,Sat Mar 15 2025 23:00:10 GMT-0400 (Eastern Daylight Time),1,necklace
59,1,1,Sat Mar 15 2025 23:00:14 GMT-0400 (Eastern Daylight Time),1,necklace
60,0,0,Sat Mar 15 2025 23:00:17 GMT-0400 (Eastern Daylight Time),1,necklace
