Trial,Motor,Response,Timestamp,PID,Device Type
1,4,4,Sat Mar 15 2025 23:21:42 GMT-0400 (Eastern Daylight Time),1,overear
2,2,2,Sat Mar 15 2025 23:21:44 GMT-0400 (Eastern Daylight Time),1,overear
3,5,5,Sat Mar 15 2025 23:21:47 GMT-0400 (Eastern Daylight Time),1,overear
4,4,4,Sat Mar 15 2025 23:21:50 GMT-0400 (Eastern Daylight Time),1,overear
5,4,4,Sat Mar 15 2025 23:21:53 GMT-0400 (Eastern Daylight Time),1,overear
6,2,2,Sat Mar 15 2025 23:21:56 GMT-0400 (Eastern Daylight Time),1,overear
7,3,3,Sat Mar 15 2025 23:21:59 GMT-0400 (Eastern Daylight Time),1,overear
8,2,2,Sat Mar 15 2025 23:22:01 GMT-0400 (Eastern Daylight Time),1,overear
9,0,1,Sat Mar 15 2025 23:22:04 GMT-0400 (Eastern Daylight Time),1,overear
10,0,0,Sat Mar 15 2025 23:22:07 GMT-0400 (Eastern Daylight Time),1,overear
11,1,1,Sat Mar 15 2025 23:22:09 GMT-0400 (Eastern Daylight Time),1,overear
12,5,5,Sat Mar 15 2025 23:22:12 GMT-0400 (Eastern Daylight Time),1,overear
13,3,4,Sat Mar 15 2025 23:22:15 GMT-0400 (Eastern Daylight Time),1,overear
14,4,4,Sat Mar 15 2025 23:22:18 GMT-0400 (Eastern Daylight Time),1,overear
15,3,3,Sat Mar 15 2025 23:22:22 GMT-0400 (Eastern Daylight Time),1,overear
16,4,4,Sat Mar 15 2025 23:22:24 GMT-0400 (Eastern Daylight Time),1,overear
17,0,0,Sat Mar 15 2025 23:22:28 GMT-0400 (Eastern Daylight Time),1,overear
18,1,1,Sat Mar 15 2025 23:22:30 GMT-0400 (Eastern Daylight Time),1,overear
19,4,5,Sat Mar 15 2025 23:22:33 GMT-0400 (Eastern Daylight Time),1,overear
20,5,4,Sat Mar 15 2025 23:22:36 GMT-0400 (Eastern Daylight Time),1,overear
21,5,5,Sat Mar 15 2025 23:22:39 GMT-0400 (Eastern Daylight Time),1,overear
22,2,2,Sat Mar 15 2025 23:22:42 GMT-0400 (Eastern Daylight Time),1,overear
23,4,3,Sat Mar 15 2025 23:22:45 GMT-0400 (Eastern Daylight Time),1,overear
24,1,1,Sat Mar 15 2025 23:22:48 GMT-0400 (Eastern Daylight Time),1,overear
25,1,1,Sat Mar 15 2025 23:22:51 GMT-0400 (Eastern Daylight Time),1,overear
26,3,3,Sat Mar 15 2025 23:22:54 GMT-0400 (Eastern Daylight Time),1,overear
27,2,2,Sat Mar 15 2025 23:22:56 GMT-0400 (Eastern Daylight Time),1,overear
28,5,5,Sat Mar 15 2025 23:23:00 GMT-0400 (Eastern Daylight Time),1,overear
29,0,0,Sat Mar 15 2025 23:23:03 GMT-0400 (Eastern Daylight Time),1,overear
30,4,4,Sat Mar 15 2025 23:23:06 GMT-0400 (Eastern Daylight Time),1,overear
31,1,1,Sat Mar 15 2025 23:23:10 GMT-0400 (Eastern Daylight Time),1,overear
32,4,4,Sat Mar 15 2025 23:23:13 GMT-0400 (Eastern Daylight Time),1,overear
33,1,1,Sat Mar 15 2025 23:23:16 GMT-0400 (Eastern Daylight Time),1,overear
34,5,4,Sat Mar 15 2025 23:23:19 GMT-0400 (Eastern Daylight Time),1,overear
35,2,2,Sat Mar 15 2025 23:23:22 GMT-0400 (Eastern Daylight Time),1,overear
36,2,2,Sat Mar 15 2025 23:23:25 GMT-0400 (Eastern Daylight Time),1,overear
37,5,5,Sat Mar 15 2025 23:23:28 GMT-0400 (Eastern Daylight Time),1,overear
38,0,0,Sat Mar 15 2025 23:23:31 GMT-0400 (Eastern Daylight Time),1,overear
39,2,2,Sat Mar 15 2025 23:23:34 GMT-0400 (Eastern Daylight Time),1,overear
40,0,1,Sat Mar 15 2025 23:23:37 GMT-0400 (Eastern Daylight Time),1,overear
41,3,3,Sat Mar 15 2025 23:23:40 GMT-0400 (Eastern Daylight Time),1,overear
42,0,0,Sat Mar 15 2025 23:23:43 GMT-0400 (Eastern Daylight Time),1,overear
43,3,3,Sat Mar 15 2025 23:23:46 GMT-0400 (Eastern Daylight Time),1,overear
44,5,5,Sat Mar 15 2025 23:23:49 GMT-0400 (Eastern Daylight Time),1,overear
45,5,5,Sat Mar 15 2025 23:23:52 GMT-0400 (Eastern Daylight Time),1,overear
46,1,1,Sat Mar 15 2025 23:23:55 GMT-0400 (Eastern Daylight Time),1,overear
47,0,0,Sat Mar 15 2025 23:23:58 GMT-0400 (Eastern Daylight Time),1,overear
