Trial,Motor,Response,Timestamp,PID,Device Type
1,5,5,Sat Mar 22 2025 18:30:28 GMT-0700 (Pacific Daylight Time),162,bracelet
2,5,4,Sat Mar 22 2025 18:30:31 GMT-0700 (Pacific Daylight Time),162,bracelet
3,2,2,Sat Mar 22 2025 18:30:33 GMT-0700 (Pacific Daylight Time),162,bracelet
4,2,2,Sat Mar 22 2025 18:30:37 GMT-0700 (Pacific Daylight Time),162,bracelet
5,5,5,Sat Mar 22 2025 18:30:40 GMT-0700 (Pacific Daylight Time),162,bracelet
6,1,0,Sat Mar 22 2025 18:30:43 GMT-0700 (Pacific Daylight Time),162,bracelet
7,5,5,Sat Mar 22 2025 18:30:47 GMT-0700 (Pacific Daylight Time),162,bracelet
8,1,0,Sat Mar 22 2025 18:30:50 GMT-0700 (Pacific Daylight Time),162,bracelet
9,3,2,Sat Mar 22 2025 18:30:54 GMT-0700 (Pacific Daylight Time),162,bracelet
10,0,0,Sat Mar 22 2025 18:30:57 GMT-0700 (Pacific Daylight Time),162,bracelet
11,4,4,Sat Mar 22 2025 18:31:02 GMT-0700 (Pacific Daylight Time),162,bracelet
12,5,5,Sat Mar 22 2025 18:31:04 GMT-0700 (Pacific Daylight Time),162,bracelet
13,3,2,Sat Mar 22 2025 18:31:08 GMT-0700 (Pacific Daylight Time),162,bracelet
14,3,2,Sat Mar 22 2025 18:31:11 GMT-0700 (Pacific Daylight Time),162,bracelet
15,4,4,Sat Mar 22 2025 18:31:14 GMT-0700 (Pacific Daylight Time),162,bracelet
16,1,0,Sat Mar 22 2025 18:31:18 GMT-0700 (Pacific Daylight Time),162,bracelet
17,4,3,Sat Mar 22 2025 18:31:21 GMT-0700 (Pacific Daylight Time),162,bracelet
18,0,0,Sat Mar 22 2025 18:31:24 GMT-0700 (Pacific Daylight Time),162,bracelet
19,5,5,Sat Mar 22 2025 18:31:27 GMT-0700 (Pacific Daylight Time),162,bracelet
20,1,1,Sat Mar 22 2025 18:31:31 GMT-0700 (Pacific Daylight Time),162,bracelet
21,2,2,Sat Mar 22 2025 18:31:34 GMT-0700 (Pacific Daylight Time),162,bracelet
22,3,3,Sat Mar 22 2025 18:31:36 GMT-0700 (Pacific Daylight Time),162,bracelet
23,4,4,Sat Mar 22 2025 18:31:39 GMT-0700 (Pacific Daylight Time),162,bracelet
24,5,5,Sat Mar 22 2025 18:31:42 GMT-0700 (Pacific Daylight Time),162,bracelet
25,2,2,Sat Mar 22 2025 18:31:45 GMT-0700 (Pacific Daylight Time),162,bracelet
26,3,2,Sat Mar 22 2025 18:31:48 GMT-0700 (Pacific Daylight Time),162,bracelet
27,5,5,Sat Mar 22 2025 18:31:51 GMT-0700 (Pacific Daylight Time),162,bracelet
28,2,1,Sat Mar 22 2025 18:31:56 GMT-0700 (Pacific Daylight Time),162,bracelet
29,1,1,Sat Mar 22 2025 18:31:59 GMT-0700 (Pacific Daylight Time),162,bracelet
30,1,1,Sat Mar 22 2025 18:32:02 GMT-0700 (Pacific Daylight Time),162,bracelet
31,0,0,Sat Mar 22 2025 18:32:06 GMT-0700 (Pacific Daylight Time),162,bracelet
32,4,3,Sat Mar 22 2025 18:32:09 GMT-0700 (Pacific Daylight Time),162,bracelet
33,5,5,Sat Mar 22 2025 18:32:12 GMT-0700 (Pacific Daylight Time),162,bracelet
34,0,1,Sat Mar 22 2025 18:32:16 GMT-0700 (Pacific Daylight Time),162,bracelet
35,2,1,Sat Mar 22 2025 18:32:19 GMT-0700 (Pacific Daylight Time),162,bracelet
36,3,1,Sat Mar 22 2025 18:32:22 GMT-0700 (Pacific Daylight Time),162,bracelet
37,0,0,Sat Mar 22 2025 18:32:25 GMT-0700 (Pacific Daylight Time),162,bracelet
38,4,5,Sat Mar 22 2025 18:32:28 GMT-0700 (Pacific Daylight Time),162,bracelet
39,3,3,Sat Mar 22 2025 18:32:31 GMT-0700 (Pacific Daylight Time),162,bracelet
40,4,4,Sat Mar 22 2025 18:32:35 GMT-0700 (Pacific Daylight Time),162,bracelet
41,3,4,Sat Mar 22 2025 18:32:38 GMT-0700 (Pacific Daylight Time),162,bracelet
42,2,2,Sat Mar 22 2025 18:32:41 GMT-0700 (Pacific Daylight Time),162,bracelet
43,4,4,Sat Mar 22 2025 18:32:44 GMT-0700 (Pacific Daylight Time),162,bracelet
44,5,5,Sat Mar 22 2025 18:32:47 GMT-0700 (Pacific Daylight Time),162,bracelet
45,0,1,Sat Mar 22 2025 18:32:50 GMT-0700 (Pacific Daylight Time),162,bracelet
46,1,1,Sat Mar 22 2025 18:32:54 GMT-0700 (Pacific Daylight Time),162,bracelet
47,3,2,Sat Mar 22 2025 18:32:57 GMT-0700 (Pacific Daylight Time),162,bracelet
48,0,1,Sat Mar 22 2025 18:33:00 GMT-0700 (Pacific Daylight Time),162,bracelet
49,0,1,Sat Mar 22 2025 18:33:03 GMT-0700 (Pacific Daylight Time),162,bracelet
50,0,1,Sat Mar 22 2025 18:33:06 GMT-0700 (Pacific Daylight Time),162,bracelet
51,1,1,Sat Mar 22 2025 18:33:08 GMT-0700 (Pacific Daylight Time),162,bracelet
52,2,2,Sat Mar 22 2025 18:33:11 GMT-0700 (Pacific Daylight Time),162,bracelet
53,1,1,Sat Mar 22 2025 18:33:15 GMT-0700 (Pacific Daylight Time),162,bracelet
54,1,1,Sat Mar 22 2025 18:33:18 GMT-0700 (Pacific Daylight Time),162,bracelet
55,3,2,Sat Mar 22 2025 18:33:21 GMT-0700 (Pacific Daylight Time),162,bracelet
56,4,3,Sat Mar 22 2025 18:33:24 GMT-0700 (Pacific Daylight Time),162,bracelet
57,0,1,Sat Mar 22 2025 18:33:27 GMT-0700 (Pacific Daylight Time),162,bracelet
58,2,1,Sat Mar 22 2025 18:33:30 GMT-0700 (Pacific Daylight Time),162,bracelet
59,4,3,Sat Mar 22 2025 18:33:33 GMT-0700 (Pacific Daylight Time),162,bracelet
60,2,3,Sat Mar 22 2025 18:33:36 GMT-0700 (Pacific Daylight Time),162,bracelet
