Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,2,3,next,next,1,Sat Mar 22 2025 11:17:19 GMT-0700 (Pacific Daylight Time),257,bracelet
2,3,3,same,same,1,Sat Mar 22 2025 11:17:23 GMT-0700 (Pacific Daylight Time),257,bracelet
3,3,4,next,next,1,Sat Mar 22 2025 11:17:28 GMT-0700 (Pacific Daylight Time),257,bracelet
4,4,4,same,same,1,Sat Mar 22 2025 11:17:32 GMT-0700 (Pacific Daylight Time),257,bracelet
5,3,3,same,same,1,Sat Mar 22 2025 11:17:36 GMT-0700 (Pacific Daylight Time),257,bracelet
6,4,3,previous,previous,1,Sat Mar 22 2025 11:17:40 GMT-0700 (Pacific Daylight Time),257,bracelet
7,5,5,same,same,1,Sat Mar 22 2025 11:17:45 GMT-0700 (Pacific Daylight Time),257,bracelet
8,0,0,same,same,1,Sat Mar 22 2025 11:17:49 GMT-0700 (Pacific Daylight Time),257,bracelet
9,1,1,same,same,1,Sat Mar 22 2025 11:17:53 GMT-0700 (Pacific Daylight Time),257,bracelet
10,4,5,next,next,1,Sat Mar 22 2025 11:17:58 GMT-0700 (Pacific Daylight Time),257,bracelet
11,0,0,same,same,1,Sat Mar 22 2025 11:18:03 GMT-0700 (Pacific Daylight Time),257,bracelet
12,3,4,next,next,1,Sat Mar 22 2025 11:18:07 GMT-0700 (Pacific Daylight Time),257,bracelet
13,2,3,next,next,1,Sat Mar 22 2025 11:18:11 GMT-0700 (Pacific Daylight Time),257,bracelet
14,1,1,same,same,1,Sat Mar 22 2025 11:18:16 GMT-0700 (Pacific Daylight Time),257,bracelet
15,2,2,same,same,1,Sat Mar 22 2025 11:18:20 GMT-0700 (Pacific Daylight Time),257,bracelet
16,4,4,same,same,1,Sat Mar 22 2025 11:18:25 GMT-0700 (Pacific Daylight Time),257,bracelet
17,4,4,same,same,1,Sat Mar 22 2025 11:18:29 GMT-0700 (Pacific Daylight Time),257,bracelet
18,1,0,previous,previous,1,Sat Mar 22 2025 11:18:33 GMT-0700 (Pacific Daylight Time),257,bracelet
19,2,1,previous,previous,1,Sat Mar 22 2025 11:18:38 GMT-0700 (Pacific Daylight Time),257,bracelet
20,0,1,next,next,1,Sat Mar 22 2025 11:18:42 GMT-0700 (Pacific Daylight Time),257,bracelet
21,3,2,previous,previous,1,Sat Mar 22 2025 11:18:46 GMT-0700 (Pacific Daylight Time),257,bracelet
22,5,4,previous,previous,1,Sat Mar 22 2025 11:18:51 GMT-0700 (Pacific Daylight Time),257,bracelet
23,1,1,same,same,1,Sat Mar 22 2025 11:18:55 GMT-0700 (Pacific Daylight Time),257,bracelet
24,1,2,next,next,1,Sat Mar 22 2025 11:18:59 GMT-0700 (Pacific Daylight Time),257,bracelet
25,1,2,next,same,0,Sat Mar 22 2025 11:19:04 GMT-0700 (Pacific Daylight Time),257,bracelet
26,5,5,same,previous,0,Sat Mar 22 2025 11:19:08 GMT-0700 (Pacific Daylight Time),257,bracelet
27,2,1,previous,previous,1,Sat Mar 22 2025 11:19:13 GMT-0700 (Pacific Daylight Time),257,bracelet
28,5,4,previous,previous,1,Sat Mar 22 2025 11:19:17 GMT-0700 (Pacific Daylight Time),257,bracelet
29,5,4,previous,previous,1,Sat Mar 22 2025 11:19:21 GMT-0700 (Pacific Daylight Time),257,bracelet
30,3,2,previous,previous,1,Sat Mar 22 2025 11:19:27 GMT-0700 (Pacific Daylight Time),257,bracelet
31,0,0,same,same,1,Sat Mar 22 2025 11:19:31 GMT-0700 (Pacific Daylight Time),257,bracelet
32,4,3,previous,previous,1,Sat Mar 22 2025 11:19:36 GMT-0700 (Pacific Daylight Time),257,bracelet
33,2,2,same,same,1,Sat Mar 22 2025 11:19:40 GMT-0700 (Pacific Daylight Time),257,bracelet
34,3,3,same,previous,0,Sat Mar 22 2025 11:19:44 GMT-0700 (Pacific Daylight Time),257,bracelet
35,2,2,same,same,1,Sat Mar 22 2025 11:19:49 GMT-0700 (Pacific Daylight Time),257,bracelet
36,0,1,next,next,1,Sat Mar 22 2025 11:19:53 GMT-0700 (Pacific Daylight Time),257,bracelet
37,0,1,next,next,1,Sat Mar 22 2025 11:19:57 GMT-0700 (Pacific Daylight Time),257,bracelet
38,4,5,next,next,1,Sat Mar 22 2025 11:20:03 GMT-0700 (Pacific Daylight Time),257,bracelet
39,5,5,same,same,1,Sat Mar 22 2025 11:20:07 GMT-0700 (Pacific Daylight Time),257,bracelet
40,1,0,previous,previous,1,Sat Mar 22 2025 11:20:12 GMT-0700 (Pacific Daylight Time),257,bracelet
