DeviceType,PID
bracelet,308

Timestamp,Amplitude,StimulusInterval,SelectedInterval,Correct,ConsecutiveCorrect,IsReversal,ReversalNumber,StepIndex,Type,Actuator,DeviceType,PID
2025-03-31T21:19:35.025Z,0.35397289219206896,First,First,true,1,false,,1,GUESS,0,bracelet,308
2025-03-31T21:19:40.148Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,0,bracelet,308
2025-03-31T21:19:52.412Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,0,bracelet,308
2025-03-31T21:19:57.412Z,0.2505936168136361,Second,Second,true,2,false,,2,GUESS,0,bracelet,308
2025-03-31T21:20:01.040Z,0.17740669461678774,First,First,true,1,false,,3,GUESS,0,bracelet,308
2025-03-31T21:20:04.345Z,0.17740669461678774,First,First,true,2,false,,3,GUESS,0,bracelet,308
2025-03-31T21:20:07.842Z,0.125594321575479,Second,Second,true,1,false,,4,GUESS,0,bracelet,308
2025-03-31T21:20:11.287Z,0.125594321575479,First,First,true,2,false,,4,GUESS,0,bracelet,308
2025-03-31T21:20:14.856Z,0.08891397050194615,First,First,true,1,false,,5,GUESS,0,bracelet,308
2025-03-31T21:20:18.199Z,0.08891397050194615,First,First,true,2,false,,5,GUESS,0,bracelet,308
2025-03-31T21:20:21.519Z,0.06294627058970836,Second,Second,true,1,false,,6,GUESS,0,bracelet,308
2025-03-31T21:20:25.425Z,0.06294627058970836,First,First,true,2,false,,6,GUESS,0,bracelet,308
2025-03-31T21:20:28.883Z,0.044562546906687275,Second,Second,true,1,false,,7,GUESS,0,bracelet,308
2025-03-31T21:20:32.078Z,0.044562546906687275,First,Second,false,1,true,1,7,GUESS,0,bracelet,308
2025-03-31T21:20:37.089Z,0.06294627058970836,First,First,true,1,false,1,6,GUESS,0,bracelet,308
2025-03-31T21:20:40.175Z,0.06294627058970836,Second,Second,true,2,true,2,6,GUESS,0,bracelet,308
2025-03-31T21:20:43.744Z,0.044562546906687275,First,Second,false,0,true,3,7,GUESS,0,bracelet,308
2025-03-31T21:20:46.961Z,0.06294627058970836,Second,Second,true,1,false,3,6,GUESS,0,bracelet,308
2025-03-31T21:20:50.087Z,0.06294627058970836,First,Second,false,1,false,3,6,GUESS,0,bracelet,308
2025-03-31T21:20:53.122Z,0.08891397050194615,Second,Second,true,1,false,3,5,GUESS,0,bracelet,308
2025-03-31T21:20:57.005Z,0.08891397050194615,First,First,true,2,true,4,5,GUESS,0,bracelet,308
2025-03-31T21:21:00.026Z,0.06294627058970836,Second,Second,true,1,false,4,6,GUESS,0,bracelet,308
2025-03-31T21:21:03.476Z,0.06294627058970836,Second,Second,true,2,false,4,6,GUESS,0,bracelet,308
2025-03-31T21:21:06.494Z,0.044562546906687275,First,Second,false,0,true,5,7,GUESS,0,bracelet,308
2025-03-31T21:21:09.776Z,0.06294627058970836,First,Second,false,0,false,5,6,GUESS,0,bracelet,308
2025-03-31T21:21:13.141Z,0.08891397050194615,First,First,true,1,false,5,5,GUESS,0,bracelet,308
2025-03-31T21:21:16.246Z,0.08891397050194615,First,First,true,2,true,6,5,GUESS,0,bracelet,308
2025-03-31T21:21:33.019Z,0.35397289219206896,Second,Second,true,1,false,,1,GUESS,1,bracelet,308
2025-03-31T21:21:36.064Z,0.35397289219206896,First,First,true,2,false,,1,GUESS,1,bracelet,308
2025-03-31T21:21:39.025Z,0.2505936168136361,First,First,true,1,false,,2,GUESS,1,bracelet,308
2025-03-31T21:21:42.052Z,0.2505936168136361,First,First,true,2,false,,2,GUESS,1,bracelet,308
2025-03-31T21:21:44.947Z,0.17740669461678774,Second,Second,true,1,false,,3,GUESS,1,bracelet,308
2025-03-31T21:21:47.839Z,0.17740669461678774,Second,Second,true,2,false,,3,GUESS,1,bracelet,308
2025-03-31T21:21:50.794Z,0.125594321575479,First,First,true,1,false,,4,GUESS,1,bracelet,308
2025-03-31T21:21:53.712Z,0.125594321575479,First,First,true,2,false,,4,GUESS,1,bracelet,308
2025-03-31T21:21:56.610Z,0.08891397050194615,First,First,true,1,false,,5,GUESS,1,bracelet,308
2025-03-31T21:22:00.564Z,0.08891397050194615,Second,Second,true,2,false,,5,GUESS,1,bracelet,308
2025-03-31T21:22:03.416Z,0.06294627058970836,Second,Second,true,1,false,,6,GUESS,1,bracelet,308
2025-03-31T21:22:06.283Z,0.06294627058970836,Second,Second,true,2,false,,6,GUESS,1,bracelet,308
2025-03-31T21:22:09.228Z,0.044562546906687275,Second,Second,true,1,false,,7,GUESS,1,bracelet,308
2025-03-31T21:22:12.489Z,0.044562546906687275,First,Second,false,1,true,1,7,GUESS,1,bracelet,308
2025-03-31T21:22:15.465Z,0.06294627058970836,First,First,true,1,false,1,6,GUESS,1,bracelet,308
2025-03-31T21:22:18.630Z,0.06294627058970836,First,Second,false,1,false,1,6,GUESS,1,bracelet,308
2025-03-31T21:22:21.552Z,0.08891397050194615,Second,Second,true,1,false,1,5,GUESS,1,bracelet,308
2025-03-31T21:22:24.552Z,0.08891397050194615,First,First,true,2,true,2,5,GUESS,1,bracelet,308
2025-03-31T21:22:27.452Z,0.06294627058970836,Second,Second,true,1,false,2,6,GUESS,1,bracelet,308
2025-03-31T21:22:30.632Z,0.06294627058970836,Second,First,false,1,true,3,6,GUESS,1,bracelet,308
2025-03-31T21:22:33.639Z,0.08891397050194615,First,First,true,1,false,3,5,GUESS,1,bracelet,308
2025-03-31T21:22:36.606Z,0.08891397050194615,First,First,true,2,true,4,5,GUESS,1,bracelet,308
2025-03-31T21:22:40.114Z,0.06294627058970836,Second,Second,true,1,false,4,6,GUESS,1,bracelet,308
2025-03-31T21:22:43.148Z,0.06294627058970836,First,First,true,2,false,4,6,GUESS,1,bracelet,308
2025-03-31T21:22:46.070Z,0.044562546906687275,First,First,true,1,false,4,7,GUESS,1,bracelet,308
2025-03-31T21:22:48.961Z,0.044562546906687275,Second,First,false,1,true,5,7,GUESS,1,bracelet,308
2025-03-31T21:22:51.808Z,0.06294627058970836,First,Second,false,0,false,5,6,GUESS,1,bracelet,308
2025-03-31T21:22:54.596Z,0.08891397050194615,First,First,true,1,false,5,5,GUESS,1,bracelet,308
2025-03-31T21:22:57.524Z,0.08891397050194615,First,First,true,2,true,6,5,GUESS,1,bracelet,308
2025-03-31T21:23:04.401Z,0.35397289219206896,Second,Second,true,1,false,,1,GUESS,2,bracelet,308
2025-03-31T21:23:07.967Z,0.35397289219206896,First,First,true,2,false,,1,GUESS,2,bracelet,308
2025-03-31T21:23:10.954Z,0.2505936168136361,First,First,true,1,false,,2,GUESS,2,bracelet,308
2025-03-31T21:23:13.869Z,0.2505936168136361,First,First,true,2,false,,2,GUESS,2,bracelet,308
2025-03-31T21:23:16.798Z,0.17740669461678774,First,First,true,1,false,,3,GUESS,2,bracelet,308
2025-03-31T21:23:19.746Z,0.17740669461678774,First,First,true,2,false,,3,GUESS,2,bracelet,308
2025-03-31T21:23:22.815Z,0.125594321575479,First,First,true,1,false,,4,GUESS,2,bracelet,308
2025-03-31T21:23:25.847Z,0.125594321575479,Second,Second,true,2,false,,4,GUESS,2,bracelet,308
2025-03-31T21:23:28.919Z,0.08891397050194615,First,Second,false,0,true,1,5,GUESS,2,bracelet,308
2025-03-31T21:23:31.772Z,0.125594321575479,First,First,true,1,false,1,4,GUESS,2,bracelet,308
2025-03-31T21:23:34.755Z,0.125594321575479,Second,Second,true,2,true,2,4,GUESS,2,bracelet,308
2025-03-31T21:23:37.722Z,0.08891397050194615,First,First,true,1,false,2,5,GUESS,2,bracelet,308
2025-03-31T21:23:40.642Z,0.08891397050194615,Second,Second,true,2,false,2,5,GUESS,2,bracelet,308
2025-03-31T21:23:43.733Z,0.06294627058970836,First,First,true,1,false,2,6,GUESS,2,bracelet,308
2025-03-31T21:23:46.569Z,0.06294627058970836,Second,Second,true,2,false,2,6,GUESS,2,bracelet,308
2025-03-31T21:23:49.441Z,0.044562546906687275,Second,First,false,0,true,3,7,GUESS,2,bracelet,308
2025-03-31T21:23:52.447Z,0.06294627058970836,First,First,true,1,false,3,6,GUESS,2,bracelet,308
2025-03-31T21:23:56.037Z,0.06294627058970836,Second,Second,true,2,true,4,6,GUESS,2,bracelet,308
2025-03-31T21:23:59.028Z,0.044562546906687275,Second,Second,true,1,false,4,7,GUESS,2,bracelet,308
2025-03-31T21:24:02.110Z,0.044562546906687275,Second,Second,true,2,false,4,7,GUESS,2,bracelet,308
2025-03-31T21:24:05.029Z,0.031547867224009665,Second,Second,true,1,false,4,8,GUESS,2,bracelet,308
2025-03-31T21:24:08.750Z,0.031547867224009665,Second,Second,true,2,false,4,8,GUESS,2,bracelet,308
2025-03-31T21:24:11.700Z,0.02233417960754815,First,Second,false,0,true,5,9,GUESS,2,bracelet,308
2025-03-31T21:24:14.412Z,0.031547867224009665,Second,Second,true,1,false,5,8,GUESS,2,bracelet,308
