DeviceType,PID
overear,308

Timestamp,Amplitude,StimulusInterval,SelectedInterval,Correct,ConsecutiveCorrect,IsReversal,ReversalNumber,StepIndex,Type,Actuator,DeviceType,PID
2025-03-31T21:40:53.939Z,0.35397289219206896,Second,Second,true,1,false,,1,GUESS,0,overear,308
2025-03-31T21:40:57.779Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,0,overear,308
2025-03-31T21:41:00.914Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,0,overear,308
2025-03-31T21:41:03.792Z,0.2505936168136361,Second,Second,true,2,false,,2,GUESS,0,overear,308
2025-03-31T21:41:06.680Z,0.17740669461678774,Second,Second,true,1,false,,3,GUESS,0,overear,308
2025-03-31T21:41:09.586Z,0.17740669461678774,Second,Second,true,2,false,,3,GUESS,0,overear,308
2025-03-31T21:41:12.398Z,0.125594321575479,Second,Second,true,1,false,,4,GUESS,0,overear,308
2025-03-31T21:41:15.223Z,0.125594321575479,Second,Second,true,2,false,,4,GUESS,0,overear,308
2025-03-31T21:41:18.138Z,0.08891397050194615,First,Second,false,0,true,1,5,GUESS,0,overear,308
2025-03-31T21:41:20.907Z,0.125594321575479,Second,Second,true,1,false,1,4,GUESS,0,overear,308
2025-03-31T21:41:24.341Z,0.125594321575479,First,First,true,2,true,2,4,GUESS,0,overear,308
2025-03-31T21:41:27.334Z,0.08891397050194615,First,First,true,1,false,2,5,GUESS,0,overear,308
2025-03-31T21:41:30.363Z,0.08891397050194615,First,First,true,2,false,2,5,GUESS,0,overear,308
2025-03-31T21:41:33.336Z,0.06294627058970836,Second,First,false,0,true,3,6,GUESS,0,overear,308
2025-03-31T21:41:36.183Z,0.08891397050194615,First,First,true,1,false,3,5,GUESS,0,overear,308
2025-03-31T21:41:39.009Z,0.08891397050194615,First,First,true,2,true,4,5,GUESS,0,overear,308
2025-03-31T21:41:41.817Z,0.06294627058970836,First,First,true,1,false,4,6,GUESS,0,overear,308
2025-03-31T21:41:44.724Z,0.06294627058970836,First,First,true,2,false,4,6,GUESS,0,overear,308
2025-03-31T21:41:47.545Z,0.044562546906687275,First,First,true,1,false,4,7,GUESS,0,overear,308
2025-03-31T21:41:50.463Z,0.044562546906687275,First,First,true,2,false,4,7,GUESS,0,overear,308
2025-03-31T21:41:53.290Z,0.031547867224009665,First,First,true,1,false,4,8,GUESS,0,overear,308
2025-03-31T21:41:56.156Z,0.031547867224009665,Second,First,false,1,true,5,8,GUESS,0,overear,308
2025-03-31T21:41:58.896Z,0.044562546906687275,Second,First,false,0,false,5,7,GUESS,0,overear,308
2025-03-31T21:42:01.711Z,0.06294627058970836,First,First,true,1,false,5,6,GUESS,0,overear,308
2025-03-31T21:42:04.530Z,0.06294627058970836,First,First,true,2,true,6,6,GUESS,0,overear,308
2025-03-31T21:42:11.004Z,0.35397289219206896,First,First,true,1,false,,1,GUESS,1,overear,308
2025-03-31T21:42:13.924Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,1,overear,308
2025-03-31T21:42:16.732Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,1,overear,308
2025-03-31T21:42:19.564Z,0.2505936168136361,First,First,true,2,false,,2,GUESS,1,overear,308
2025-03-31T21:42:22.300Z,0.17740669461678774,First,First,true,1,false,,3,GUESS,1,overear,308
2025-03-31T21:42:25.216Z,0.17740669461678774,Second,Second,true,2,false,,3,GUESS,1,overear,308
2025-03-31T21:42:28.055Z,0.125594321575479,First,First,true,1,false,,4,GUESS,1,overear,308
2025-03-31T21:42:30.772Z,0.125594321575479,Second,Second,true,2,false,,4,GUESS,1,overear,308
2025-03-31T21:42:33.580Z,0.08891397050194615,First,First,true,1,false,,5,GUESS,1,overear,308
2025-03-31T21:42:36.445Z,0.08891397050194615,First,Second,false,1,true,1,5,GUESS,1,overear,308
2025-03-31T21:42:39.214Z,0.125594321575479,First,First,true,1,false,1,4,GUESS,1,overear,308
2025-03-31T21:42:42.990Z,0.125594321575479,Second,Second,true,2,true,2,4,GUESS,1,overear,308
2025-03-31T21:42:46.181Z,0.08891397050194615,Second,Second,true,1,false,2,5,GUESS,1,overear,308
2025-03-31T21:42:49.662Z,0.08891397050194615,First,First,true,2,false,2,5,GUESS,1,overear,308
2025-03-31T21:42:52.438Z,0.06294627058970836,Second,Second,true,1,false,2,6,GUESS,1,overear,308
2025-03-31T21:42:56.140Z,0.06294627058970836,First,First,true,2,false,2,6,GUESS,1,overear,308
2025-03-31T21:42:59.062Z,0.044562546906687275,Second,Second,true,1,false,2,7,GUESS,1,overear,308
2025-03-31T21:43:02.143Z,0.044562546906687275,Second,Second,true,2,false,2,7,GUESS,1,overear,308
2025-03-31T21:43:06.267Z,0.031547867224009665,First,Second,false,0,true,3,8,GUESS,1,overear,308
2025-03-31T21:43:09.274Z,0.044562546906687275,Second,Second,true,1,false,3,7,GUESS,1,overear,308
2025-03-31T21:43:12.537Z,0.044562546906687275,Second,Second,true,2,true,4,7,GUESS,1,overear,308
2025-03-31T21:43:15.629Z,0.031547867224009665,Second,Second,true,1,false,4,8,GUESS,1,overear,308
2025-03-31T21:43:18.398Z,0.031547867224009665,First,Second,false,1,true,5,8,GUESS,1,overear,308
2025-03-31T21:43:21.064Z,0.044562546906687275,Second,Second,true,1,false,5,7,GUESS,1,overear,308
2025-03-31T21:43:23.763Z,0.044562546906687275,Second,Second,true,2,true,6,7,GUESS,1,overear,308
2025-03-31T21:43:29.767Z,0.35397289219206896,First,First,true,1,false,,1,GUESS,2,overear,308
2025-03-31T21:43:32.663Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,2,overear,308
2025-03-31T21:43:35.539Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,2,overear,308
2025-03-31T21:43:38.334Z,0.2505936168136361,Second,Second,true,2,false,,2,GUESS,2,overear,308
