Trial,Motor,Response,Timestamp,PID,Device Type
1,0,0,Sun Mar 16 2025 22:00:16 GMT-0400 (Eastern Daylight Time),545,bracelet
2,1,1,Sun Mar 16 2025 22:00:19 GMT-0400 (Eastern Daylight Time),545,bracelet
3,1,2,Sun Mar 16 2025 22:00:22 GMT-0400 (Eastern Daylight Time),545,bracelet
4,2,2,Sun Mar 16 2025 22:00:25 GMT-0400 (Eastern Daylight Time),545,bracelet
5,1,1,Sun Mar 16 2025 22:00:28 GMT-0400 (Eastern Daylight Time),545,bracelet
6,3,3,Sun Mar 16 2025 22:00:31 GMT-0400 (Eastern Daylight Time),545,bracelet
7,0,0,Sun Mar 16 2025 22:00:34 GMT-0400 (Eastern Daylight Time),545,bracelet
8,3,3,Sun Mar 16 2025 22:00:37 GMT-0400 (Eastern Daylight Time),545,bracelet
9,1,1,Sun Mar 16 2025 22:00:41 GMT-0400 (Eastern Daylight Time),545,bracelet
10,2,2,Sun Mar 16 2025 22:00:45 GMT-0400 (Eastern Daylight Time),545,bracelet
11,3,3,Sun Mar 16 2025 22:00:48 GMT-0400 (Eastern Daylight Time),545,bracelet
12,5,5,Sun Mar 16 2025 22:00:50 GMT-0400 (Eastern Daylight Time),545,bracelet
13,5,5,Sun Mar 16 2025 22:00:54 GMT-0400 (Eastern Daylight Time),545,bracelet
14,0,0,Sun Mar 16 2025 22:00:57 GMT-0400 (Eastern Daylight Time),545,bracelet
15,4,4,Sun Mar 16 2025 22:01:00 GMT-0400 (Eastern Daylight Time),545,bracelet
16,5,5,Sun Mar 16 2025 22:01:03 GMT-0400 (Eastern Daylight Time),545,bracelet
17,3,3,Sun Mar 16 2025 22:01:06 GMT-0400 (Eastern Daylight Time),545,bracelet
18,1,1,Sun Mar 16 2025 22:01:10 GMT-0400 (Eastern Daylight Time),545,bracelet
19,3,2,Sun Mar 16 2025 22:01:13 GMT-0400 (Eastern Daylight Time),545,bracelet
20,4,4,Sun Mar 16 2025 22:01:16 GMT-0400 (Eastern Daylight Time),545,bracelet
21,5,5,Sun Mar 16 2025 22:01:19 GMT-0400 (Eastern Daylight Time),545,bracelet
22,0,0,Sun Mar 16 2025 22:01:22 GMT-0400 (Eastern Daylight Time),545,bracelet
23,0,0,Sun Mar 16 2025 22:01:25 GMT-0400 (Eastern Daylight Time),545,bracelet
24,5,5,Sun Mar 16 2025 22:01:29 GMT-0400 (Eastern Daylight Time),545,bracelet
25,5,5,Sun Mar 16 2025 22:01:32 GMT-0400 (Eastern Daylight Time),545,bracelet
26,0,0,Sun Mar 16 2025 22:01:35 GMT-0400 (Eastern Daylight Time),545,bracelet
27,1,2,Sun Mar 16 2025 22:01:39 GMT-0400 (Eastern Daylight Time),545,bracelet
28,1,1,Sun Mar 16 2025 22:01:42 GMT-0400 (Eastern Daylight Time),545,bracelet
29,3,3,Sun Mar 16 2025 22:01:45 GMT-0400 (Eastern Daylight Time),545,bracelet
30,2,2,Sun Mar 16 2025 22:01:48 GMT-0400 (Eastern Daylight Time),545,bracelet
31,4,5,Sun Mar 16 2025 22:01:51 GMT-0400 (Eastern Daylight Time),545,bracelet
32,3,3,Sun Mar 16 2025 22:01:55 GMT-0400 (Eastern Daylight Time),545,bracelet
33,2,2,Sun Mar 16 2025 22:01:58 GMT-0400 (Eastern Daylight Time),545,bracelet
34,2,2,Sun Mar 16 2025 22:02:01 GMT-0400 (Eastern Daylight Time),545,bracelet
35,1,0,Sun Mar 16 2025 22:02:04 GMT-0400 (Eastern Daylight Time),545,bracelet
36,5,5,Sun Mar 16 2025 22:02:06 GMT-0400 (Eastern Daylight Time),545,bracelet
37,2,2,Sun Mar 16 2025 22:02:10 GMT-0400 (Eastern Daylight Time),545,bracelet
38,0,0,Sun Mar 16 2025 22:02:14 GMT-0400 (Eastern Daylight Time),545,bracelet
39,2,2,Sun Mar 16 2025 22:02:17 GMT-0400 (Eastern Daylight Time),545,bracelet
40,0,0,Sun Mar 16 2025 22:02:20 GMT-0400 (Eastern Daylight Time),545,bracelet
41,1,1,Sun Mar 16 2025 22:02:23 GMT-0400 (Eastern Daylight Time),545,bracelet
42,4,5,Sun Mar 16 2025 22:02:26 GMT-0400 (Eastern Daylight Time),545,bracelet
43,5,5,Sun Mar 16 2025 22:02:30 GMT-0400 (Eastern Daylight Time),545,bracelet
44,0,0,Sun Mar 16 2025 22:02:33 GMT-0400 (Eastern Daylight Time),545,bracelet
45,4,4,Sun Mar 16 2025 22:02:37 GMT-0400 (Eastern Daylight Time),545,bracelet
46,2,3,Sun Mar 16 2025 22:02:40 GMT-0400 (Eastern Daylight Time),545,bracelet
47,4,5,Sun Mar 16 2025 22:02:43 GMT-0400 (Eastern Daylight Time),545,bracelet
48,0,0,Sun Mar 16 2025 22:02:47 GMT-0400 (Eastern Daylight Time),545,bracelet
49,3,3,Sun Mar 16 2025 22:02:51 GMT-0400 (Eastern Daylight Time),545,bracelet
50,3,3,Sun Mar 16 2025 22:02:54 GMT-0400 (Eastern Daylight Time),545,bracelet
51,2,2,Sun Mar 16 2025 22:02:57 GMT-0400 (Eastern Daylight Time),545,bracelet
52,5,5,Sun Mar 16 2025 22:03:01 GMT-0400 (Eastern Daylight Time),545,bracelet
53,1,0,Sun Mar 16 2025 22:03:04 GMT-0400 (Eastern Daylight Time),545,bracelet
54,5,4,Sun Mar 16 2025 22:03:07 GMT-0400 (Eastern Daylight Time),545,bracelet
