Trial,Motor,Response,Timestamp,PID,Device Type
1,0,0,Sun Mar 16 2025 22:36:23 GMT-0400 (Eastern Daylight Time),545,overear
2,3,3,Sun Mar 16 2025 22:36:26 GMT-0400 (Eastern Daylight Time),545,overear
3,0,0,Sun Mar 16 2025 22:36:30 GMT-0400 (Eastern Daylight Time),545,overear
4,1,1,Sun Mar 16 2025 22:36:32 GMT-0400 (Eastern Daylight Time),545,overear
5,2,2,Sun Mar 16 2025 22:36:35 GMT-0400 (Eastern Daylight Time),545,overear
6,5,5,Sun Mar 16 2025 22:36:38 GMT-0400 (Eastern Daylight Time),545,overear
7,2,2,Sun Mar 16 2025 22:36:41 GMT-0400 (Eastern Daylight Time),545,overear
8,4,4,Sun Mar 16 2025 22:36:44 GMT-0400 (Eastern Daylight Time),545,overear
9,1,1,Sun Mar 16 2025 22:36:47 GMT-0400 (Eastern Daylight Time),545,overear
10,0,0,Sun Mar 16 2025 22:36:50 GMT-0400 (Eastern Daylight Time),545,overear
11,3,4,Sun Mar 16 2025 22:36:53 GMT-0400 (Eastern Daylight Time),545,overear
12,3,4,Sun Mar 16 2025 22:36:56 GMT-0400 (Eastern Daylight Time),545,overear
13,1,1,Sun Mar 16 2025 22:36:58 GMT-0400 (Eastern Daylight Time),545,overear
14,2,2,Sun Mar 16 2025 22:37:02 GMT-0400 (Eastern Daylight Time),545,overear
15,5,5,Sun Mar 16 2025 22:37:05 GMT-0400 (Eastern Daylight Time),545,overear
16,0,0,Sun Mar 16 2025 22:37:08 GMT-0400 (Eastern Daylight Time),545,overear
17,3,4,Sun Mar 16 2025 22:37:11 GMT-0400 (Eastern Daylight Time),545,overear
18,4,5,Sun Mar 16 2025 22:37:14 GMT-0400 (Eastern Daylight Time),545,overear
19,4,5,Sun Mar 16 2025 22:37:16 GMT-0400 (Eastern Daylight Time),545,overear
20,1,1,Sun Mar 16 2025 22:37:19 GMT-0400 (Eastern Daylight Time),545,overear
21,1,2,Sun Mar 16 2025 22:37:23 GMT-0400 (Eastern Daylight Time),545,overear
22,4,4,Sun Mar 16 2025 22:37:26 GMT-0400 (Eastern Daylight Time),545,overear
23,0,0,Sun Mar 16 2025 22:37:29 GMT-0400 (Eastern Daylight Time),545,overear
