Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,4,5,next,next,1,Sun Mar 16 2025 22:39:37 GMT-0400 (Eastern Daylight Time),545,overear
2,2,2,same,same,1,Sun Mar 16 2025 22:39:41 GMT-0400 (Eastern Daylight Time),545,overear
3,5,4,previous,previous,1,Sun Mar 16 2025 22:39:45 GMT-0400 (Eastern Daylight Time),545,overear
4,5,4,previous,previous,1,Sun Mar 16 2025 22:39:48 GMT-0400 (Eastern Daylight Time),545,overear
5,3,3,same,same,1,Sun Mar 16 2025 22:39:52 GMT-0400 (Eastern Daylight Time),545,overear
6,1,2,next,next,1,Sun Mar 16 2025 22:39:57 GMT-0400 (Eastern Daylight Time),545,overear
7,4,3,previous,previous,1,Sun Mar 16 2025 22:40:01 GMT-0400 (Eastern Daylight Time),545,overear
8,1,0,previous,previous,1,Sun Mar 16 2025 22:40:05 GMT-0400 (Eastern Daylight Time),545,overear
9,0,0,same,same,1,Sun Mar 16 2025 22:40:09 GMT-0400 (Eastern Daylight Time),545,overear
10,2,3,next,next,1,Sun Mar 16 2025 22:40:14 GMT-0400 (Eastern Daylight Time),545,overear
11,3,2,previous,previous,1,Sun Mar 16 2025 22:40:18 GMT-0400 (Eastern Daylight Time),545,overear
12,5,5,same,same,1,Sun Mar 16 2025 22:40:22 GMT-0400 (Eastern Daylight Time),545,overear
13,5,5,same,same,1,Sun Mar 16 2025 22:40:26 GMT-0400 (Eastern Daylight Time),545,overear
14,5,4,previous,previous,1,Sun Mar 16 2025 22:40:31 GMT-0400 (Eastern Daylight Time),545,overear
15,3,4,next,next,1,Sun Mar 16 2025 22:40:35 GMT-0400 (Eastern Daylight Time),545,overear
16,0,0,same,same,1,Sun Mar 16 2025 22:40:39 GMT-0400 (Eastern Daylight Time),545,overear
17,4,4,same,same,1,Sun Mar 16 2025 22:40:43 GMT-0400 (Eastern Daylight Time),545,overear
18,3,4,next,next,1,Sun Mar 16 2025 22:40:47 GMT-0400 (Eastern Daylight Time),545,overear
19,3,3,same,same,1,Sun Mar 16 2025 22:40:51 GMT-0400 (Eastern Daylight Time),545,overear
20,2,2,same,same,1,Sun Mar 16 2025 22:40:55 GMT-0400 (Eastern Daylight Time),545,overear
21,0,1,next,next,1,Sun Mar 16 2025 22:40:59 GMT-0400 (Eastern Daylight Time),545,overear
22,1,2,next,next,1,Sun Mar 16 2025 22:41:03 GMT-0400 (Eastern Daylight Time),545,overear
23,1,1,same,same,1,Sun Mar 16 2025 22:41:07 GMT-0400 (Eastern Daylight Time),545,overear
24,2,2,same,same,1,Sun Mar 16 2025 22:41:11 GMT-0400 (Eastern Daylight Time),545,overear
25,1,1,same,same,1,Sun Mar 16 2025 22:41:15 GMT-0400 (Eastern Daylight Time),545,overear
26,3,3,same,same,1,Sun Mar 16 2025 22:41:19 GMT-0400 (Eastern Daylight Time),545,overear
27,5,5,same,same,1,Sun Mar 16 2025 22:41:23 GMT-0400 (Eastern Daylight Time),545,overear
28,2,3,next,next,1,Sun Mar 16 2025 22:41:27 GMT-0400 (Eastern Daylight Time),545,overear
29,0,0,same,same,1,Sun Mar 16 2025 22:41:31 GMT-0400 (Eastern Daylight Time),545,overear
30,0,1,next,next,1,Sun Mar 16 2025 22:41:35 GMT-0400 (Eastern Daylight Time),545,overear
31,2,1,previous,previous,1,Sun Mar 16 2025 22:41:40 GMT-0400 (Eastern Daylight Time),545,overear
32,4,3,previous,same,0,Sun Mar 16 2025 22:41:44 GMT-0400 (Eastern Daylight Time),545,overear
33,4,4,same,same,1,Sun Mar 16 2025 22:41:48 GMT-0400 (Eastern Daylight Time),545,overear
34,2,1,previous,previous,1,Sun Mar 16 2025 22:41:52 GMT-0400 (Eastern Daylight Time),545,overear
35,1,1,same,same,1,Sun Mar 16 2025 22:41:56 GMT-0400 (Eastern Daylight Time),545,overear
36,0,1,next,next,1,Sun Mar 16 2025 22:42:00 GMT-0400 (Eastern Daylight Time),545,overear
37,3,2,previous,previous,1,Sun Mar 16 2025 22:42:04 GMT-0400 (Eastern Daylight Time),545,overear
38,1,0,previous,previous,1,Sun Mar 16 2025 22:42:08 GMT-0400 (Eastern Daylight Time),545,overear
39,4,5,next,next,1,Sun Mar 16 2025 22:42:11 GMT-0400 (Eastern Daylight Time),545,overear
40,4,4,same,same,1,Sun Mar 16 2025 22:42:16 GMT-0400 (Eastern Daylight Time),545,overear
