Trial,Motor,Response,Timestamp,PID,Device Type
1,3,3,Sat Mar 22 2025 20:58:11 GMT-0700 (Pacific Daylight Time),947,overear
2,0,1,Sat Mar 22 2025 20:58:15 GMT-0700 (Pacific Daylight Time),947,overear
3,3,3,Sat Mar 22 2025 20:58:18 GMT-0700 (Pacific Daylight Time),947,overear
4,5,5,Sat Mar 22 2025 20:58:22 GMT-0700 (Pacific Daylight Time),947,overear
5,0,0,Sat Mar 22 2025 20:58:26 GMT-0700 (Pacific Daylight Time),947,overear
6,4,5,Sat Mar 22 2025 20:58:29 GMT-0700 (Pacific Daylight Time),947,overear
7,4,5,Sat Mar 22 2025 20:58:32 GMT-0700 (Pacific Daylight Time),947,overear
8,2,2,Sat Mar 22 2025 20:58:35 GMT-0700 (Pacific Daylight Time),947,overear
9,4,4,Sat Mar 22 2025 20:58:38 GMT-0700 (Pacific Daylight Time),947,overear
10,0,0,Sat Mar 22 2025 20:58:42 GMT-0700 (Pacific Daylight Time),947,overear
11,4,5,Sat Mar 22 2025 20:58:45 GMT-0700 (Pacific Daylight Time),947,overear
12,0,0,Sat Mar 22 2025 20:58:48 GMT-0700 (Pacific Daylight Time),947,overear
13,0,0,Sat Mar 22 2025 20:58:52 GMT-0700 (Pacific Daylight Time),947,overear
14,3,3,Sat Mar 22 2025 20:58:56 GMT-0700 (Pacific Daylight Time),947,overear
15,5,5,Sat Mar 22 2025 20:58:59 GMT-0700 (Pacific Daylight Time),947,overear
16,1,1,Sat Mar 22 2025 20:59:02 GMT-0700 (Pacific Daylight Time),947,overear
17,2,2,Sat Mar 22 2025 20:59:05 GMT-0700 (Pacific Daylight Time),947,overear
18,1,1,Sat Mar 22 2025 20:59:08 GMT-0700 (Pacific Daylight Time),947,overear
19,0,0,Sat Mar 22 2025 20:59:12 GMT-0700 (Pacific Daylight Time),947,overear
20,2,1,Sat Mar 22 2025 20:59:15 GMT-0700 (Pacific Daylight Time),947,overear
21,5,5,Sat Mar 22 2025 20:59:18 GMT-0700 (Pacific Daylight Time),947,overear
22,1,2,Sat Mar 22 2025 20:59:23 GMT-0700 (Pacific Daylight Time),947,overear
23,3,3,Sat Mar 22 2025 20:59:26 GMT-0700 (Pacific Daylight Time),947,overear
24,3,4,Sat Mar 22 2025 20:59:29 GMT-0700 (Pacific Daylight Time),947,overear
25,1,2,Sat Mar 22 2025 20:59:33 GMT-0700 (Pacific Daylight Time),947,overear
26,0,0,Sat Mar 22 2025 20:59:36 GMT-0700 (Pacific Daylight Time),947,overear
