Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,0,0,same,next,0,Sat Mar 22 2025 20:44:58 GMT-0700 (Pacific Daylight Time),947,necklace
2,2,3,next,next,1,Sat Mar 22 2025 20:45:02 GMT-0700 (Pacific Daylight Time),947,necklace
3,0,1,next,next,1,Sat Mar 22 2025 20:45:07 GMT-0700 (Pacific Daylight Time),947,necklace
4,5,5,same,same,1,Sat Mar 22 2025 20:45:11 GMT-0700 (Pacific Daylight Time),947,necklace
5,0,1,next,next,1,Sat Mar 22 2025 20:45:16 GMT-0700 (Pacific Daylight Time),947,necklace
6,1,2,next,next,1,Sat Mar 22 2025 20:45:20 GMT-0700 (Pacific Daylight Time),947,necklace
7,1,1,same,same,1,Sat Mar 22 2025 20:45:24 GMT-0700 (Pacific Daylight Time),947,necklace
8,1,0,previous,previous,1,Sat Mar 22 2025 20:45:29 GMT-0700 (Pacific Daylight Time),947,necklace
9,4,3,previous,previous,1,Sat Mar 22 2025 20:45:34 GMT-0700 (Pacific Daylight Time),947,necklace
10,3,4,next,next,1,Sat Mar 22 2025 20:45:38 GMT-0700 (Pacific Daylight Time),947,necklace
11,3,3,same,same,1,Sat Mar 22 2025 20:45:43 GMT-0700 (Pacific Daylight Time),947,necklace
12,1,1,same,same,1,Sat Mar 22 2025 20:45:47 GMT-0700 (Pacific Daylight Time),947,necklace
13,2,2,same,same,1,Sat Mar 22 2025 20:45:52 GMT-0700 (Pacific Daylight Time),947,necklace
14,3,3,same,same,1,Sat Mar 22 2025 20:45:56 GMT-0700 (Pacific Daylight Time),947,necklace
15,5,5,same,same,1,Sat Mar 22 2025 20:46:00 GMT-0700 (Pacific Daylight Time),947,necklace
16,5,5,same,same,1,Sat Mar 22 2025 20:46:05 GMT-0700 (Pacific Daylight Time),947,necklace
17,5,4,previous,previous,1,Sat Mar 22 2025 20:46:09 GMT-0700 (Pacific Daylight Time),947,necklace
18,0,1,next,next,1,Sat Mar 22 2025 20:46:13 GMT-0700 (Pacific Daylight Time),947,necklace
19,1,1,same,same,1,Sat Mar 22 2025 20:46:18 GMT-0700 (Pacific Daylight Time),947,necklace
20,4,5,next,same,0,Sat Mar 22 2025 20:46:22 GMT-0700 (Pacific Daylight Time),947,necklace
21,5,4,previous,previous,1,Sat Mar 22 2025 20:46:27 GMT-0700 (Pacific Daylight Time),947,necklace
22,4,5,next,next,1,Sat Mar 22 2025 20:46:31 GMT-0700 (Pacific Daylight Time),947,necklace
23,4,4,same,same,1,Sat Mar 22 2025 20:46:35 GMT-0700 (Pacific Daylight Time),947,necklace
24,4,4,same,same,1,Sat Mar 22 2025 20:46:40 GMT-0700 (Pacific Daylight Time),947,necklace
25,3,2,previous,previous,1,Sat Mar 22 2025 20:46:44 GMT-0700 (Pacific Daylight Time),947,necklace
26,2,1,previous,same,0,Sat Mar 22 2025 20:46:48 GMT-0700 (Pacific Daylight Time),947,necklace
27,1,0,previous,previous,1,Sat Mar 22 2025 20:46:53 GMT-0700 (Pacific Daylight Time),947,necklace
28,2,3,next,next,1,Sat Mar 22 2025 20:46:57 GMT-0700 (Pacific Daylight Time),947,necklace
29,1,2,next,next,1,Sat Mar 22 2025 20:47:02 GMT-0700 (Pacific Daylight Time),947,necklace
30,4,4,same,previous,0,Sat Mar 22 2025 20:47:07 GMT-0700 (Pacific Daylight Time),947,necklace
31,2,2,same,same,1,Sat Mar 22 2025 20:47:11 GMT-0700 (Pacific Daylight Time),947,necklace
32,0,0,same,next,0,Sat Mar 22 2025 20:47:16 GMT-0700 (Pacific Daylight Time),947,necklace
33,2,1,previous,previous,1,Sat Mar 22 2025 20:47:20 GMT-0700 (Pacific Daylight Time),947,necklace
34,2,2,same,same,1,Sat Mar 22 2025 20:47:25 GMT-0700 (Pacific Daylight Time),947,necklace
35,3,3,same,same,1,Sat Mar 22 2025 20:47:29 GMT-0700 (Pacific Daylight Time),947,necklace
36,3,2,previous,previous,1,Sat Mar 22 2025 20:47:34 GMT-0700 (Pacific Daylight Time),947,necklace
37,4,3,previous,previous,1,Sat Mar 22 2025 20:47:38 GMT-0700 (Pacific Daylight Time),947,necklace
38,5,4,previous,previous,1,Sat Mar 22 2025 20:47:43 GMT-0700 (Pacific Daylight Time),947,necklace
39,0,0,same,same,1,Sat Mar 22 2025 20:47:47 GMT-0700 (Pacific Daylight Time),947,necklace
40,3,4,next,same,0,Sat Mar 22 2025 20:47:51 GMT-0700 (Pacific Daylight Time),947,necklace
