Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,3,3,same,next,0,Sat Mar 22 2025 21:02:12 GMT-0700 (Pacific Daylight Time),947,overear
2,1,1,same,same,1,Sat Mar 22 2025 21:02:16 GMT-0700 (Pacific Daylight Time),947,overear
3,4,5,next,next,1,Sat Mar 22 2025 21:02:21 GMT-0700 (Pacific Daylight Time),947,overear
4,2,1,previous,previous,1,Sat Mar 22 2025 21:02:26 GMT-0700 (Pacific Daylight Time),947,overear
5,1,1,same,same,1,Sat Mar 22 2025 21:02:30 GMT-0700 (Pacific Daylight Time),947,overear
6,2,3,next,next,1,Sat Mar 22 2025 21:02:34 GMT-0700 (Pacific Daylight Time),947,overear
7,5,5,same,same,1,Sat Mar 22 2025 21:02:39 GMT-0700 (Pacific Daylight Time),947,overear
8,5,5,same,same,1,Sat Mar 22 2025 21:02:43 GMT-0700 (Pacific Daylight Time),947,overear
9,4,3,previous,previous,1,Sat Mar 22 2025 21:02:48 GMT-0700 (Pacific Daylight Time),947,overear
10,3,4,next,next,1,Sat Mar 22 2025 21:02:53 GMT-0700 (Pacific Daylight Time),947,overear
11,4,4,same,same,1,Sat Mar 22 2025 21:02:57 GMT-0700 (Pacific Daylight Time),947,overear
12,3,2,previous,previous,1,Sat Mar 22 2025 21:03:01 GMT-0700 (Pacific Daylight Time),947,overear
13,4,4,same,same,1,Sat Mar 22 2025 21:03:06 GMT-0700 (Pacific Daylight Time),947,overear
14,2,2,same,same,1,Sat Mar 22 2025 21:03:10 GMT-0700 (Pacific Daylight Time),947,overear
15,2,2,same,same,1,Sat Mar 22 2025 21:03:14 GMT-0700 (Pacific Daylight Time),947,overear
16,2,3,next,next,1,Sat Mar 22 2025 21:03:19 GMT-0700 (Pacific Daylight Time),947,overear
17,4,5,next,next,1,Sat Mar 22 2025 21:03:24 GMT-0700 (Pacific Daylight Time),947,overear
18,4,4,same,same,1,Sat Mar 22 2025 21:03:28 GMT-0700 (Pacific Daylight Time),947,overear
19,5,5,same,same,1,Sat Mar 22 2025 21:03:33 GMT-0700 (Pacific Daylight Time),947,overear
20,0,0,same,same,1,Sat Mar 22 2025 21:03:38 GMT-0700 (Pacific Daylight Time),947,overear
21,3,4,next,next,1,Sat Mar 22 2025 21:03:42 GMT-0700 (Pacific Daylight Time),947,overear
22,3,2,previous,previous,1,Sat Mar 22 2025 21:03:47 GMT-0700 (Pacific Daylight Time),947,overear
23,1,2,next,same,0,Sat Mar 22 2025 21:03:51 GMT-0700 (Pacific Daylight Time),947,overear
24,2,2,same,same,1,Sat Mar 22 2025 21:03:56 GMT-0700 (Pacific Daylight Time),947,overear
25,1,2,next,next,1,Sat Mar 22 2025 21:04:00 GMT-0700 (Pacific Daylight Time),947,overear
26,0,1,next,next,1,Sat Mar 22 2025 21:04:05 GMT-0700 (Pacific Daylight Time),947,overear
27,1,1,same,same,1,Sat Mar 22 2025 21:04:10 GMT-0700 (Pacific Daylight Time),947,overear
28,2,1,previous,previous,1,Sat Mar 22 2025 21:04:15 GMT-0700 (Pacific Daylight Time),947,overear
29,0,0,same,same,1,Sat Mar 22 2025 21:04:19 GMT-0700 (Pacific Daylight Time),947,overear
30,4,3,previous,previous,1,Sat Mar 22 2025 21:04:23 GMT-0700 (Pacific Daylight Time),947,overear
31,5,4,previous,previous,1,Sat Mar 22 2025 21:04:28 GMT-0700 (Pacific Daylight Time),947,overear
32,3,3,same,same,1,Sat Mar 22 2025 21:04:33 GMT-0700 (Pacific Daylight Time),947,overear
33,0,1,next,next,1,Sat Mar 22 2025 21:04:37 GMT-0700 (Pacific Daylight Time),947,overear
34,5,4,previous,previous,1,Sat Mar 22 2025 21:04:41 GMT-0700 (Pacific Daylight Time),947,overear
35,1,0,previous,previous,1,Sat Mar 22 2025 21:04:46 GMT-0700 (Pacific Daylight Time),947,overear
36,0,1,next,next,1,Sat Mar 22 2025 21:04:50 GMT-0700 (Pacific Daylight Time),947,overear
37,5,4,previous,previous,1,Sat Mar 22 2025 21:04:54 GMT-0700 (Pacific Daylight Time),947,overear
38,0,0,same,same,1,Sat Mar 22 2025 21:04:59 GMT-0700 (Pacific Daylight Time),947,overear
39,1,0,previous,previous,1,Sat Mar 22 2025 21:05:04 GMT-0700 (Pacific Daylight Time),947,overear
40,3,3,same,same,1,Sat Mar 22 2025 21:05:08 GMT-0700 (Pacific Daylight Time),947,overear
