Trial,Motor,Response,Timestamp,PID,Device Type
1,1,0,Sat Mar 15 2025 23:41:21 GMT-0400 (Eastern Daylight Time),1,bracelet
2,4,3,Sat Mar 15 2025 23:41:24 GMT-0400 (Eastern Daylight Time),1,bracelet
3,2,1,Sat Mar 15 2025 23:41:27 GMT-0400 (Eastern Daylight Time),1,bracelet
4,5,5,Sat Mar 15 2025 23:41:30 GMT-0400 (Eastern Daylight Time),1,bracelet
5,1,1,Sat Mar 15 2025 23:41:34 GMT-0400 (Eastern Daylight Time),1,bracelet
6,2,2,Sat Mar 15 2025 23:41:36 GMT-0400 (Eastern Daylight Time),1,bracelet
7,3,3,Sat Mar 15 2025 23:41:39 GMT-0400 (Eastern Daylight Time),1,bracelet
8,5,5,Sat Mar 15 2025 23:41:42 GMT-0400 (Eastern Daylight Time),1,bracelet
9,0,0,Sat Mar 15 2025 23:41:45 GMT-0400 (Eastern Daylight Time),1,bracelet
10,3,4,Sat Mar 15 2025 23:41:47 GMT-0400 (Eastern Daylight Time),1,bracelet
11,3,3,Sat Mar 15 2025 23:41:51 GMT-0400 (Eastern Daylight Time),1,bracelet
12,2,1,Sat Mar 15 2025 23:41:53 GMT-0400 (Eastern Daylight Time),1,bracelet
13,1,1,Sat Mar 15 2025 23:41:56 GMT-0400 (Eastern Daylight Time),1,bracelet
14,4,4,Sat Mar 15 2025 23:41:59 GMT-0400 (Eastern Daylight Time),1,bracelet
15,2,2,Sat Mar 15 2025 23:42:02 GMT-0400 (Eastern Daylight Time),1,bracelet
16,1,1,Sat Mar 15 2025 23:42:05 GMT-0400 (Eastern Daylight Time),1,bracelet
17,4,4,Sat Mar 15 2025 23:42:09 GMT-0400 (Eastern Daylight Time),1,bracelet
18,1,0,Sat Mar 15 2025 23:42:12 GMT-0400 (Eastern Daylight Time),1,bracelet
19,4,4,Sat Mar 15 2025 23:42:15 GMT-0400 (Eastern Daylight Time),1,bracelet
20,4,4,Sat Mar 15 2025 23:42:17 GMT-0400 (Eastern Daylight Time),1,bracelet
21,1,0,Sat Mar 15 2025 23:42:20 GMT-0400 (Eastern Daylight Time),1,bracelet
22,5,5,Sat Mar 15 2025 23:42:23 GMT-0400 (Eastern Daylight Time),1,bracelet
23,0,1,Sat Mar 15 2025 23:42:26 GMT-0400 (Eastern Daylight Time),1,bracelet
