Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,2,2,same,same,1,Sat Mar 15 2025 23:44:33 GMT-0400 (Eastern Daylight Time),1,bracelet
2,3,3,same,same,1,Sat Mar 15 2025 23:44:37 GMT-0400 (Eastern Daylight Time),1,bracelet
3,0,0,same,same,1,Sat Mar 15 2025 23:44:41 GMT-0400 (Eastern Daylight Time),1,bracelet
4,4,5,next,next,1,Sat Mar 15 2025 23:44:44 GMT-0400 (Eastern Daylight Time),1,bracelet
5,5,5,same,same,1,Sat Mar 15 2025 23:44:48 GMT-0400 (Eastern Daylight Time),1,bracelet
6,1,0,previous,same,0,Sat Mar 15 2025 23:44:52 GMT-0400 (Eastern Daylight Time),1,bracelet
7,1,1,same,same,1,Sat Mar 15 2025 23:44:56 GMT-0400 (Eastern Daylight Time),1,bracelet
8,3,2,previous,previous,1,Sat Mar 15 2025 23:45:00 GMT-0400 (Eastern Daylight Time),1,bracelet
9,2,3,next,same,0,Sat Mar 15 2025 23:45:04 GMT-0400 (Eastern Daylight Time),1,bracelet
10,4,3,previous,previous,1,Sat Mar 15 2025 23:45:09 GMT-0400 (Eastern Daylight Time),1,bracelet
11,4,3,previous,same,0,Sat Mar 15 2025 23:45:13 GMT-0400 (Eastern Daylight Time),1,bracelet
12,1,0,previous,previous,1,Sat Mar 15 2025 23:45:17 GMT-0400 (Eastern Daylight Time),1,bracelet
13,0,1,next,next,1,Sat Mar 15 2025 23:45:21 GMT-0400 (Eastern Daylight Time),1,bracelet
14,1,2,next,next,1,Sat Mar 15 2025 23:45:25 GMT-0400 (Eastern Daylight Time),1,bracelet
15,3,3,same,same,1,Sat Mar 15 2025 23:45:30 GMT-0400 (Eastern Daylight Time),1,bracelet
16,5,4,previous,same,0,Sat Mar 15 2025 23:45:34 GMT-0400 (Eastern Daylight Time),1,bracelet
17,2,2,same,same,1,Sat Mar 15 2025 23:45:38 GMT-0400 (Eastern Daylight Time),1,bracelet
18,0,1,next,same,0,Sat Mar 15 2025 23:45:43 GMT-0400 (Eastern Daylight Time),1,bracelet
19,5,4,previous,same,0,Sat Mar 15 2025 23:45:47 GMT-0400 (Eastern Daylight Time),1,bracelet
20,0,0,same,same,1,Sat Mar 15 2025 23:45:51 GMT-0400 (Eastern Daylight Time),1,bracelet
21,1,1,same,same,1,Sat Mar 15 2025 23:45:55 GMT-0400 (Eastern Daylight Time),1,bracelet
22,5,5,same,same,1,Sat Mar 15 2025 23:45:59 GMT-0400 (Eastern Daylight Time),1,bracelet
23,0,0,same,same,1,Sat Mar 15 2025 23:46:04 GMT-0400 (Eastern Daylight Time),1,bracelet
24,2,1,previous,previous,1,Sat Mar 15 2025 23:46:09 GMT-0400 (Eastern Daylight Time),1,bracelet
25,1,1,same,same,1,Sat Mar 15 2025 23:46:13 GMT-0400 (Eastern Daylight Time),1,bracelet
26,2,1,previous,previous,1,Sat Mar 15 2025 23:46:17 GMT-0400 (Eastern Daylight Time),1,bracelet
27,4,4,same,same,1,Sat Mar 15 2025 23:46:21 GMT-0400 (Eastern Daylight Time),1,bracelet
28,5,5,same,same,1,Sat Mar 15 2025 23:46:25 GMT-0400 (Eastern Daylight Time),1,bracelet
29,2,2,same,same,1,Sat Mar 15 2025 23:46:29 GMT-0400 (Eastern Daylight Time),1,bracelet
30,5,4,previous,same,0,Sat Mar 15 2025 23:46:33 GMT-0400 (Eastern Daylight Time),1,bracelet
31,0,1,next,next,1,Sat Mar 15 2025 23:46:38 GMT-0400 (Eastern Daylight Time),1,bracelet
32,3,4,next,next,1,Sat Mar 15 2025 23:46:42 GMT-0400 (Eastern Daylight Time),1,bracelet
33,4,5,next,next,1,Sat Mar 15 2025 23:46:47 GMT-0400 (Eastern Daylight Time),1,bracelet
34,2,3,next,next,1,Sat Mar 15 2025 23:46:51 GMT-0400 (Eastern Daylight Time),1,bracelet
35,4,4,same,same,1,Sat Mar 15 2025 23:46:55 GMT-0400 (Eastern Daylight Time),1,bracelet
36,3,3,same,same,1,Sat Mar 15 2025 23:46:59 GMT-0400 (Eastern Daylight Time),1,bracelet
37,3,2,previous,previous,1,Sat Mar 15 2025 23:47:03 GMT-0400 (Eastern Daylight Time),1,bracelet
38,3,4,next,same,0,Sat Mar 15 2025 23:47:07 GMT-0400 (Eastern Daylight Time),1,bracelet
39,1,2,next,next,1,Sat Mar 15 2025 23:47:11 GMT-0400 (Eastern Daylight Time),1,bracelet
40,4,4,same,same,1,Sat Mar 15 2025 23:47:15 GMT-0400 (Eastern Daylight Time),1,bracelet
