Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,2,1,previous,previous,1,Sat Mar 15 2025 23:01:45 GMT-0400 (Eastern Daylight Time),1,necklace
2,5,5,same,same,1,Sat Mar 15 2025 23:01:49 GMT-0400 (Eastern Daylight Time),1,necklace
3,4,5,next,next,1,Sat Mar 15 2025 23:01:53 GMT-0400 (Eastern Daylight Time),1,necklace
4,0,0,same,same,1,Sat Mar 15 2025 23:01:58 GMT-0400 (Eastern Daylight Time),1,necklace
5,3,2,previous,previous,1,Sat Mar 15 2025 23:02:02 GMT-0400 (Eastern Daylight Time),1,necklace
6,0,1,next,next,1,Sat Mar 15 2025 23:02:06 GMT-0400 (Eastern Daylight Time),1,necklace
7,4,5,next,next,1,Sat Mar 15 2025 23:02:10 GMT-0400 (Eastern Daylight Time),1,necklace
8,2,3,next,next,1,Sat Mar 15 2025 23:02:14 GMT-0400 (Eastern Daylight Time),1,necklace
9,2,3,next,next,1,Sat Mar 15 2025 23:02:19 GMT-0400 (Eastern Daylight Time),1,necklace
10,2,2,same,same,1,Sat Mar 15 2025 23:02:23 GMT-0400 (Eastern Daylight Time),1,necklace
11,0,0,same,same,1,Sat Mar 15 2025 23:02:27 GMT-0400 (Eastern Daylight Time),1,necklace
12,5,5,same,same,1,Sat Mar 15 2025 23:02:32 GMT-0400 (Eastern Daylight Time),1,necklace
13,0,1,next,next,1,Sat Mar 15 2025 23:02:36 GMT-0400 (Eastern Daylight Time),1,necklace
14,4,4,same,same,1,Sat Mar 15 2025 23:02:41 GMT-0400 (Eastern Daylight Time),1,necklace
15,3,4,next,next,1,Sat Mar 15 2025 23:02:45 GMT-0400 (Eastern Daylight Time),1,necklace
16,2,2,same,same,1,Sat Mar 15 2025 23:02:49 GMT-0400 (Eastern Daylight Time),1,necklace
17,2,2,same,same,1,Sat Mar 15 2025 23:02:53 GMT-0400 (Eastern Daylight Time),1,necklace
18,2,1,previous,previous,1,Sat Mar 15 2025 23:02:57 GMT-0400 (Eastern Daylight Time),1,necklace
19,1,2,next,next,1,Sat Mar 15 2025 23:03:02 GMT-0400 (Eastern Daylight Time),1,necklace
20,1,1,same,same,1,Sat Mar 15 2025 23:03:06 GMT-0400 (Eastern Daylight Time),1,necklace
21,4,4,same,same,1,Sat Mar 15 2025 23:03:10 GMT-0400 (Eastern Daylight Time),1,necklace
22,1,2,next,next,1,Sat Mar 15 2025 23:03:14 GMT-0400 (Eastern Daylight Time),1,necklace
23,4,3,previous,previous,1,Sat Mar 15 2025 23:03:18 GMT-0400 (Eastern Daylight Time),1,necklace
24,1,1,same,previous,0,Sat Mar 15 2025 23:03:23 GMT-0400 (Eastern Daylight Time),1,necklace
25,5,4,previous,previous,1,Sat Mar 15 2025 23:03:27 GMT-0400 (Eastern Daylight Time),1,necklace
26,0,0,same,same,1,Sat Mar 15 2025 23:03:31 GMT-0400 (Eastern Daylight Time),1,necklace
27,0,1,next,same,0,Sat Mar 15 2025 23:03:36 GMT-0400 (Eastern Daylight Time),1,necklace
28,3,3,same,same,1,Sat Mar 15 2025 23:03:40 GMT-0400 (Eastern Daylight Time),1,necklace
29,1,0,previous,previous,1,Sat Mar 15 2025 23:03:44 GMT-0400 (Eastern Daylight Time),1,necklace
30,3,3,same,same,1,Sat Mar 15 2025 23:03:48 GMT-0400 (Eastern Daylight Time),1,necklace
31,3,2,previous,previous,1,Sat Mar 15 2025 23:03:52 GMT-0400 (Eastern Daylight Time),1,necklace
32,3,3,same,same,1,Sat Mar 15 2025 23:03:56 GMT-0400 (Eastern Daylight Time),1,necklace
33,1,0,previous,previous,1,Sat Mar 15 2025 23:04:01 GMT-0400 (Eastern Daylight Time),1,necklace
34,5,4,previous,previous,1,Sat Mar 15 2025 23:04:05 GMT-0400 (Eastern Daylight Time),1,necklace
35,4,4,same,same,1,Sat Mar 15 2025 23:04:09 GMT-0400 (Eastern Daylight Time),1,necklace
36,4,3,previous,previous,1,Sat Mar 15 2025 23:04:13 GMT-0400 (Eastern Daylight Time),1,necklace
37,1,1,same,same,1,Sat Mar 15 2025 23:04:17 GMT-0400 (Eastern Daylight Time),1,necklace
38,5,4,previous,previous,1,Sat Mar 15 2025 23:04:21 GMT-0400 (Eastern Daylight Time),1,necklace
39,5,5,same,same,1,Sat Mar 15 2025 23:04:25 GMT-0400 (Eastern Daylight Time),1,necklace
40,3,4,next,next,1,Sat Mar 15 2025 23:04:29 GMT-0400 (Eastern Daylight Time),1,necklace
