Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,2,3,next,next,1,Sat Mar 15 2025 23:24:56 GMT-0400 (Eastern Daylight Time),1,overear
2,3,2,previous,previous,1,Sat Mar 15 2025 23:25:00 GMT-0400 (Eastern Daylight Time),1,overear
3,5,5,same,same,1,Sat Mar 15 2025 23:25:04 GMT-0400 (Eastern Daylight Time),1,overear
4,0,1,next,next,1,Sat Mar 15 2025 23:25:08 GMT-0400 (Eastern Daylight Time),1,overear
5,2,1,previous,previous,1,Sat Mar 15 2025 23:25:12 GMT-0400 (Eastern Daylight Time),1,overear
6,0,0,same,same,1,Sat Mar 15 2025 23:25:16 GMT-0400 (Eastern Daylight Time),1,overear
7,0,0,same,same,1,Sat Mar 15 2025 23:25:20 GMT-0400 (Eastern Daylight Time),1,overear
8,5,4,previous,previous,1,Sat Mar 15 2025 23:25:25 GMT-0400 (Eastern Daylight Time),1,overear
9,3,3,same,same,1,Sat Mar 15 2025 23:25:33 GMT-0400 (Eastern Daylight Time),1,overear
10,4,4,same,same,1,Sat Mar 15 2025 23:25:37 GMT-0400 (Eastern Daylight Time),1,overear
11,4,4,same,same,1,Sat Mar 15 2025 23:25:41 GMT-0400 (Eastern Daylight Time),1,overear
12,2,2,same,next,0,Sat Mar 15 2025 23:25:48 GMT-0400 (Eastern Daylight Time),1,overear
13,1,1,same,same,1,Sat Mar 15 2025 23:25:52 GMT-0400 (Eastern Daylight Time),1,overear
14,2,1,previous,previous,1,Sat Mar 15 2025 23:25:56 GMT-0400 (Eastern Daylight Time),1,overear
15,0,0,same,same,1,Sat Mar 15 2025 23:26:01 GMT-0400 (Eastern Daylight Time),1,overear
16,1,0,previous,previous,1,Sat Mar 15 2025 23:26:04 GMT-0400 (Eastern Daylight Time),1,overear
17,2,2,same,same,1,Sat Mar 15 2025 23:26:09 GMT-0400 (Eastern Daylight Time),1,overear
18,3,4,next,next,1,Sat Mar 15 2025 23:26:14 GMT-0400 (Eastern Daylight Time),1,overear
19,2,2,same,same,1,Sat Mar 15 2025 23:26:18 GMT-0400 (Eastern Daylight Time),1,overear
20,4,5,next,next,1,Sat Mar 15 2025 23:26:23 GMT-0400 (Eastern Daylight Time),1,overear
21,5,4,previous,previous,1,Sat Mar 15 2025 23:26:27 GMT-0400 (Eastern Daylight Time),1,overear
22,5,5,same,same,1,Sat Mar 15 2025 23:26:32 GMT-0400 (Eastern Daylight Time),1,overear
23,5,5,same,same,1,Sat Mar 15 2025 23:26:36 GMT-0400 (Eastern Daylight Time),1,overear
24,4,5,next,next,1,Sat Mar 15 2025 23:26:40 GMT-0400 (Eastern Daylight Time),1,overear
25,5,4,previous,same,0,Sat Mar 15 2025 23:26:45 GMT-0400 (Eastern Daylight Time),1,overear
26,2,3,next,next,1,Sat Mar 15 2025 23:26:49 GMT-0400 (Eastern Daylight Time),1,overear
27,3,3,same,same,1,Sat Mar 15 2025 23:26:53 GMT-0400 (Eastern Daylight Time),1,overear
28,3,4,next,next,1,Sat Mar 15 2025 23:26:58 GMT-0400 (Eastern Daylight Time),1,overear
29,3,3,same,same,1,Sat Mar 15 2025 23:27:02 GMT-0400 (Eastern Daylight Time),1,overear
30,0,1,next,next,1,Sat Mar 15 2025 23:27:06 GMT-0400 (Eastern Daylight Time),1,overear
31,4,4,same,next,0,Sat Mar 15 2025 23:27:12 GMT-0400 (Eastern Daylight Time),1,overear
32,1,1,same,same,1,Sat Mar 15 2025 23:27:16 GMT-0400 (Eastern Daylight Time),1,overear
33,1,2,next,next,1,Sat Mar 15 2025 23:27:21 GMT-0400 (Eastern Daylight Time),1,overear
34,0,1,next,next,1,Sat Mar 15 2025 23:27:25 GMT-0400 (Eastern Daylight Time),1,overear
35,1,1,same,same,1,Sat Mar 15 2025 23:27:29 GMT-0400 (Eastern Daylight Time),1,overear
36,1,2,next,next,1,Sat Mar 15 2025 23:27:33 GMT-0400 (Eastern Daylight Time),1,overear
37,4,3,previous,previous,1,Sat Mar 15 2025 23:27:39 GMT-0400 (Eastern Daylight Time),1,overear
38,1,0,previous,previous,1,Sat Mar 15 2025 23:27:43 GMT-0400 (Eastern Daylight Time),1,overear
39,3,2,previous,previous,1,Sat Mar 15 2025 23:27:48 GMT-0400 (Eastern Daylight Time),1,overear
40,4,3,previous,previous,1,Sat Mar 15 2025 23:27:53 GMT-0400 (Eastern Daylight Time),1,overear
