DeviceType,PID
overear,1530

Timestamp,Amplitude,StimulusInterval,SelectedInterval,Correct,ConsecutiveCorrect,IsReversal,ReversalNumber,StepIndex,Type,Actuator,DeviceType,PID
2025-03-18T17:06:26.391Z,0.35397289219206896,Second,First,false,0,false,,1,GUESS,0,overear,1530
2025-03-18T17:06:31.040Z,0.5,Second,Second,true,1,false,,0,GUESS,0,overear,1530
2025-03-18T17:06:36.313Z,0.5,Second,Second,true,2,true,1,0,GUESS,0,overear,1530
2025-03-18T17:06:39.192Z,0.35397289219206896,Second,Second,true,1,false,1,1,GUESS,0,overear,1530
2025-03-18T17:06:46.552Z,0.35397289219206896,Second,Second,true,2,false,1,1,GUESS,0,overear,1530
2025-03-18T17:06:50.449Z,0.2505936168136361,Second,Second,true,1,false,1,2,GUESS,0,overear,1530
2025-03-18T17:06:55.281Z,0.2505936168136361,Second,Second,true,2,false,1,2,GUESS,0,overear,1530
2025-03-18T17:07:00.106Z,0.17740669461678774,First,First,true,1,false,1,3,GUESS,0,overear,1530
2025-03-18T17:07:02.881Z,0.17740669461678774,First,First,true,2,false,1,3,GUESS,0,overear,1530
2025-03-18T17:07:07.350Z,0.125594321575479,Second,First,false,0,true,2,4,GUESS,0,overear,1530
2025-03-18T17:07:10.097Z,0.17740669461678774,Second,First,false,0,false,2,3,GUESS,0,overear,1530
2025-03-18T17:07:13.289Z,0.2505936168136361,Second,Second,true,1,false,2,2,GUESS,0,overear,1530
2025-03-18T17:07:15.991Z,0.2505936168136361,Second,Second,true,2,true,3,2,GUESS,0,overear,1530
2025-03-18T17:07:19.132Z,0.17740669461678774,First,First,true,1,false,3,3,GUESS,0,overear,1530
2025-03-18T17:07:21.788Z,0.17740669461678774,First,First,true,2,false,3,3,GUESS,0,overear,1530
2025-03-18T17:07:24.530Z,0.125594321575479,Second,Second,true,1,false,3,4,GUESS,0,overear,1530
2025-03-18T17:07:27.166Z,0.125594321575479,First,First,true,2,false,3,4,GUESS,0,overear,1530
2025-03-18T17:07:29.891Z,0.08891397050194615,Second,Second,true,1,false,3,5,GUESS,0,overear,1530
2025-03-18T17:07:33.303Z,0.08891397050194615,Second,Second,true,2,false,3,5,GUESS,0,overear,1530
2025-03-18T17:07:36.000Z,0.06294627058970836,First,First,true,1,false,3,6,GUESS,0,overear,1530
2025-03-18T17:07:38.863Z,0.06294627058970836,Second,Second,true,2,false,3,6,GUESS,0,overear,1530
2025-03-18T17:07:41.580Z,0.044562546906687275,First,Second,false,0,true,4,7,GUESS,0,overear,1530
2025-03-18T17:07:44.240Z,0.06294627058970836,First,Second,false,0,false,4,6,GUESS,0,overear,1530
2025-03-18T17:07:46.848Z,0.08891397050194615,Second,Second,true,1,false,4,5,GUESS,0,overear,1530
2025-03-18T17:07:49.495Z,0.08891397050194615,Second,Second,true,2,true,5,5,GUESS,0,overear,1530
2025-03-18T17:07:52.936Z,0.06294627058970836,First,Second,false,0,true,6,6,GUESS,0,overear,1530
2025-03-18T17:07:56.706Z,0.35397289219206896,Second,Second,true,1,false,,1,GUESS,1,overear,1530
2025-03-18T17:07:59.727Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,1,overear,1530
2025-03-18T17:08:02.635Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,1,overear,1530
2025-03-18T17:08:05.381Z,0.2505936168136361,First,First,true,2,false,,2,GUESS,1,overear,1530
2025-03-18T17:08:08.071Z,0.17740669461678774,First,First,true,1,false,,3,GUESS,1,overear,1530
2025-03-18T17:08:11.120Z,0.17740669461678774,Second,First,false,1,true,1,3,GUESS,1,overear,1530
2025-03-18T17:08:14.276Z,0.2505936168136361,Second,Second,true,1,false,1,2,GUESS,1,overear,1530
2025-03-18T17:08:17.007Z,0.2505936168136361,Second,Second,true,2,true,2,2,GUESS,1,overear,1530
2025-03-18T17:08:19.722Z,0.17740669461678774,First,First,true,1,false,2,3,GUESS,1,overear,1530
2025-03-18T17:08:22.423Z,0.17740669461678774,Second,Second,true,2,false,2,3,GUESS,1,overear,1530
2025-03-18T17:08:25.140Z,0.125594321575479,Second,Second,true,1,false,2,4,GUESS,1,overear,1530
2025-03-18T17:08:27.896Z,0.125594321575479,Second,Second,true,2,false,2,4,GUESS,1,overear,1530
2025-03-18T17:08:30.581Z,0.08891397050194615,First,First,true,1,false,2,5,GUESS,1,overear,1530
2025-03-18T17:08:33.583Z,0.08891397050194615,First,First,true,2,false,2,5,GUESS,1,overear,1530
2025-03-18T17:08:36.308Z,0.06294627058970836,Second,First,false,0,true,3,6,GUESS,1,overear,1530
2025-03-18T17:08:38.973Z,0.08891397050194615,First,First,true,1,false,3,5,GUESS,1,overear,1530
2025-03-18T17:08:41.841Z,0.08891397050194615,Second,Second,true,2,true,4,5,GUESS,1,overear,1530
2025-03-18T17:08:44.610Z,0.06294627058970836,Second,Second,true,1,false,4,6,GUESS,1,overear,1530
2025-03-18T17:08:47.400Z,0.06294627058970836,Second,Second,true,2,false,4,6,GUESS,1,overear,1530
2025-03-18T17:08:50.289Z,0.044562546906687275,Second,Second,true,1,false,4,7,GUESS,1,overear,1530
2025-03-18T17:08:54.457Z,0.044562546906687275,First,Second,false,1,true,5,7,GUESS,1,overear,1530
2025-03-18T17:08:57.471Z,0.06294627058970836,First,First,true,1,false,5,6,GUESS,1,overear,1530
2025-03-18T17:09:00.086Z,0.06294627058970836,First,First,true,2,true,6,6,GUESS,1,overear,1530
2025-03-18T17:09:03.621Z,0.35397289219206896,First,First,true,1,false,,1,GUESS,2,overear,1530
2025-03-18T17:09:06.236Z,0.35397289219206896,Second,Second,true,2,false,,1,GUESS,2,overear,1530
2025-03-18T17:09:09.028Z,0.2505936168136361,Second,Second,true,1,false,,2,GUESS,2,overear,1530
2025-03-18T17:09:11.886Z,0.2505936168136361,Second,Second,true,2,false,,2,GUESS,2,overear,1530
2025-03-18T17:09:15.105Z,0.17740669461678774,Second,Second,true,1,false,,3,GUESS,2,overear,1530
2025-03-18T17:09:17.729Z,0.17740669461678774,First,First,true,2,false,,3,GUESS,2,overear,1530
2025-03-18T17:09:20.297Z,0.125594321575479,First,First,true,1,false,,4,GUESS,2,overear,1530
2025-03-18T17:09:23.065Z,0.125594321575479,Second,First,false,1,true,1,4,GUESS,2,overear,1530
2025-03-18T17:09:25.826Z,0.17740669461678774,Second,Second,true,1,false,1,3,GUESS,2,overear,1530
2025-03-18T17:09:28.551Z,0.17740669461678774,First,First,true,2,true,2,3,GUESS,2,overear,1530
2025-03-18T17:09:31.204Z,0.125594321575479,First,First,true,1,false,2,4,GUESS,2,overear,1530
2025-03-18T17:09:33.872Z,0.125594321575479,First,First,true,2,false,2,4,GUESS,2,overear,1530
2025-03-18T17:09:36.967Z,0.08891397050194615,First,Second,false,0,true,3,5,GUESS,2,overear,1530
2025-03-18T17:09:40.182Z,0.125594321575479,Second,Second,true,1,false,3,4,GUESS,2,overear,1530
2025-03-18T17:09:43.038Z,0.125594321575479,Second,Second,true,2,true,4,4,GUESS,2,overear,1530
2025-03-18T17:09:46.358Z,0.08891397050194615,First,Second,false,0,true,5,5,GUESS,2,overear,1530
2025-03-18T17:09:50.543Z,0.125594321575479,Second,Second,true,1,false,5,4,GUESS,2,overear,1530
2025-03-18T17:09:53.908Z,0.125594321575479,First,Second,false,1,false,5,4,GUESS,2,overear,1530
2025-03-18T17:09:57.405Z,0.17740669461678774,Second,Second,true,1,false,5,3,GUESS,2,overear,1530
2025-03-18T17:10:00.115Z,0.17740669461678774,First,First,true,2,true,6,3,GUESS,2,overear,1530
2025-03-18T17:10:04.097Z,0.35397289219206896,First,First,true,1,false,,1,GUESS,3,overear,1530
2025-03-18T17:10:06.762Z,0.35397289219206896,First,First,true,2,false,,1,GUESS,3,overear,1530
2025-03-18T17:10:09.806Z,0.2505936168136361,First,First,true,1,false,,2,GUESS,3,overear,1530
2025-03-18T17:10:12.934Z,0.2505936168136361,First,First,true,2,false,,2,GUESS,3,overear,1530
2025-03-18T17:10:15.666Z,0.17740669461678774,First,First,true,1,false,,3,GUESS,3,overear,1530
2025-03-18T17:10:18.379Z,0.17740669461678774,Second,First,false,1,true,1,3,GUESS,3,overear,1530
2025-03-18T17:10:21.133Z,0.2505936168136361,First,First,true,1,false,1,2,GUESS,3,overear,1530
2025-03-18T17:10:23.950Z,0.2505936168136361,First,First,true,2,true,2,2,GUESS,3,overear,1530
2025-03-18T17:10:26.707Z,0.17740669461678774,First,First,true,1,false,2,3,GUESS,3,overear,1530
2025-03-18T17:10:29.360Z,0.17740669461678774,First,First,true,2,false,2,3,GUESS,3,overear,1530
2025-03-18T17:10:31.993Z,0.125594321575479,First,First,true,1,false,2,4,GUESS,3,overear,1530
2025-03-18T17:10:34.632Z,0.125594321575479,First,First,true,2,false,2,4,GUESS,3,overear,1530
2025-03-18T17:10:40.632Z,0.08891397050194615,First,Second,false,0,true,3,5,GUESS,3,overear,1530
2025-03-18T17:10:43.678Z,0.125594321575479,Second,Second,true,1,false,3,4,GUESS,3,overear,1530
