Trial,Motor,Response,Timestamp,PID,Device Type
1,3,3,Tue Mar 18 2025 13:21:36 GMT-0400 (Eastern Daylight Time),1530,overear
2,3,3,Tue Mar 18 2025 13:21:41 GMT-0400 (Eastern Daylight Time),1530,overear
3,3,3,Tue Mar 18 2025 13:21:45 GMT-0400 (Eastern Daylight Time),1530,overear
4,0,1,Tue Mar 18 2025 13:21:49 GMT-0400 (Eastern Daylight Time),1530,overear
5,1,0,Tue Mar 18 2025 13:21:54 GMT-0400 (Eastern Daylight Time),1530,overear
6,4,3,Tue Mar 18 2025 13:21:58 GMT-0400 (Eastern Daylight Time),1530,overear
7,0,1,Tue Mar 18 2025 13:22:02 GMT-0400 (Eastern Daylight Time),1530,overear
8,5,4,Tue Mar 18 2025 13:22:07 GMT-0400 (Eastern Daylight Time),1530,overear
9,3,3,Tue Mar 18 2025 13:22:12 GMT-0400 (Eastern Daylight Time),1530,overear
10,1,1,Tue Mar 18 2025 13:22:16 GMT-0400 (Eastern Daylight Time),1530,overear
11,5,4,Tue Mar 18 2025 13:22:32 GMT-0400 (Eastern Daylight Time),1530,overear
12,4,4,Tue Mar 18 2025 13:22:45 GMT-0400 (Eastern Daylight Time),1530,overear
13,1,1,Tue Mar 18 2025 13:22:49 GMT-0400 (Eastern Daylight Time),1530,overear
14,5,5,Tue Mar 18 2025 13:23:00 GMT-0400 (Eastern Daylight Time),1530,overear
15,1,2,Tue Mar 18 2025 13:23:06 GMT-0400 (Eastern Daylight Time),1530,overear
16,5,4,Tue Mar 18 2025 13:23:10 GMT-0400 (Eastern Daylight Time),1530,overear
17,1,2,Tue Mar 18 2025 13:23:14 GMT-0400 (Eastern Daylight Time),1530,overear
18,1,1,Tue Mar 18 2025 13:23:18 GMT-0400 (Eastern Daylight Time),1530,overear
19,0,0,Tue Mar 18 2025 13:23:22 GMT-0400 (Eastern Daylight Time),1530,overear
20,3,3,Tue Mar 18 2025 13:23:27 GMT-0400 (Eastern Daylight Time),1530,overear
21,4,4,Tue Mar 18 2025 13:23:31 GMT-0400 (Eastern Daylight Time),1530,overear
22,3,3,Tue Mar 18 2025 13:23:35 GMT-0400 (Eastern Daylight Time),1530,overear
23,0,1,Tue Mar 18 2025 13:23:39 GMT-0400 (Eastern Daylight Time),1530,overear
24,2,2,Tue Mar 18 2025 13:23:43 GMT-0400 (Eastern Daylight Time),1530,overear
25,1,1,Tue Mar 18 2025 13:23:53 GMT-0400 (Eastern Daylight Time),1530,overear
26,0,1,Tue Mar 18 2025 13:24:07 GMT-0400 (Eastern Daylight Time),1530,overear
27,2,1,Tue Mar 18 2025 13:24:11 GMT-0400 (Eastern Daylight Time),1530,overear
28,0,1,Tue Mar 18 2025 13:24:15 GMT-0400 (Eastern Daylight Time),1530,overear
29,3,3,Tue Mar 18 2025 13:24:22 GMT-0400 (Eastern Daylight Time),1530,overear
30,5,4,Tue Mar 18 2025 13:24:29 GMT-0400 (Eastern Daylight Time),1530,overear
31,5,5,Tue Mar 18 2025 13:24:32 GMT-0400 (Eastern Daylight Time),1530,overear
32,2,2,Tue Mar 18 2025 13:24:39 GMT-0400 (Eastern Daylight Time),1530,overear
33,1,1,Tue Mar 18 2025 13:24:42 GMT-0400 (Eastern Daylight Time),1530,overear
34,4,3,Tue Mar 18 2025 13:24:53 GMT-0400 (Eastern Daylight Time),1530,overear
35,4,5,Tue Mar 18 2025 13:24:58 GMT-0400 (Eastern Daylight Time),1530,overear
36,4,4,Tue Mar 18 2025 13:25:02 GMT-0400 (Eastern Daylight Time),1530,overear
37,5,5,Tue Mar 18 2025 13:25:05 GMT-0400 (Eastern Daylight Time),1530,overear
38,5,5,Tue Mar 18 2025 13:25:09 GMT-0400 (Eastern Daylight Time),1530,overear
39,0,1,Tue Mar 18 2025 13:25:14 GMT-0400 (Eastern Daylight Time),1530,overear
40,2,2,Tue Mar 18 2025 13:25:18 GMT-0400 (Eastern Daylight Time),1530,overear
41,2,2,Tue Mar 18 2025 13:25:22 GMT-0400 (Eastern Daylight Time),1530,overear
42,0,0,Tue Mar 18 2025 13:25:30 GMT-0400 (Eastern Daylight Time),1530,overear
43,1,0,Tue Mar 18 2025 13:25:33 GMT-0400 (Eastern Daylight Time),1530,overear
44,2,2,Tue Mar 18 2025 13:25:37 GMT-0400 (Eastern Daylight Time),1530,overear
45,4,4,Tue Mar 18 2025 13:25:41 GMT-0400 (Eastern Daylight Time),1530,overear
46,5,5,Tue Mar 18 2025 13:25:45 GMT-0400 (Eastern Daylight Time),1530,overear
47,2,3,Tue Mar 18 2025 13:25:49 GMT-0400 (Eastern Daylight Time),1530,overear
48,2,2,Tue Mar 18 2025 13:25:55 GMT-0400 (Eastern Daylight Time),1530,overear
49,4,4,Tue Mar 18 2025 13:26:02 GMT-0400 (Eastern Daylight Time),1530,overear
50,3,3,Tue Mar 18 2025 13:26:05 GMT-0400 (Eastern Daylight Time),1530,overear
