Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,1,2,next,previous,0,Wed Mar 19 2025 17:14:52 GMT-0400 (Eastern Daylight Time),1541,bracelet
2,3,2,previous,previous,1,Wed Mar 19 2025 17:14:56 GMT-0400 (Eastern Daylight Time),1541,bracelet
3,1,0,previous,next,0,Wed Mar 19 2025 17:15:00 GMT-0400 (Eastern Daylight Time),1541,bracelet
4,0,1,next,next,1,Wed Mar 19 2025 17:15:05 GMT-0400 (Eastern Daylight Time),1541,bracelet
5,3,3,same,same,1,Wed Mar 19 2025 17:15:10 GMT-0400 (Eastern Daylight Time),1541,bracelet
6,1,1,same,same,1,Wed Mar 19 2025 17:15:15 GMT-0400 (Eastern Daylight Time),1541,bracelet
7,3,4,next,same,0,Wed Mar 19 2025 17:15:20 GMT-0400 (Eastern Daylight Time),1541,bracelet
8,5,4,previous,previous,1,Wed Mar 19 2025 17:15:25 GMT-0400 (Eastern Daylight Time),1541,bracelet
9,2,1,previous,same,0,Wed Mar 19 2025 17:15:30 GMT-0400 (Eastern Daylight Time),1541,bracelet
10,1,1,same,next,0,Wed Mar 19 2025 17:15:37 GMT-0400 (Eastern Daylight Time),1541,bracelet
11,0,1,next,same,0,Wed Mar 19 2025 17:15:42 GMT-0400 (Eastern Daylight Time),1541,bracelet
12,0,1,next,next,1,Wed Mar 19 2025 17:15:54 GMT-0400 (Eastern Daylight Time),1541,bracelet
13,3,4,next,next,1,Wed Mar 19 2025 17:15:58 GMT-0400 (Eastern Daylight Time),1541,bracelet
14,1,2,next,next,1,Wed Mar 19 2025 17:16:02 GMT-0400 (Eastern Daylight Time),1541,bracelet
15,5,5,same,same,1,Wed Mar 19 2025 17:16:06 GMT-0400 (Eastern Daylight Time),1541,bracelet
16,2,3,next,next,1,Wed Mar 19 2025 17:16:11 GMT-0400 (Eastern Daylight Time),1541,bracelet
17,0,0,same,next,0,Wed Mar 19 2025 17:16:17 GMT-0400 (Eastern Daylight Time),1541,bracelet
18,5,5,same,same,1,Wed Mar 19 2025 17:16:22 GMT-0400 (Eastern Daylight Time),1541,bracelet
19,0,0,same,next,0,Wed Mar 19 2025 17:16:29 GMT-0400 (Eastern Daylight Time),1541,bracelet
20,2,2,same,previous,0,Wed Mar 19 2025 17:16:37 GMT-0400 (Eastern Daylight Time),1541,bracelet
21,4,5,next,previous,0,Wed Mar 19 2025 17:16:46 GMT-0400 (Eastern Daylight Time),1541,bracelet
22,5,4,previous,previous,1,Wed Mar 19 2025 17:16:51 GMT-0400 (Eastern Daylight Time),1541,bracelet
23,5,4,previous,previous,1,Wed Mar 19 2025 17:16:55 GMT-0400 (Eastern Daylight Time),1541,bracelet
24,4,3,previous,next,0,Wed Mar 19 2025 17:16:59 GMT-0400 (Eastern Daylight Time),1541,bracelet
25,1,0,previous,same,0,Wed Mar 19 2025 17:17:06 GMT-0400 (Eastern Daylight Time),1541,bracelet
26,4,4,same,next,0,Wed Mar 19 2025 17:17:29 GMT-0400 (Eastern Daylight Time),1541,bracelet
27,1,1,same,next,0,Wed Mar 19 2025 17:17:36 GMT-0400 (Eastern Daylight Time),1541,bracelet
28,3,2,previous,previous,1,Wed Mar 19 2025 17:17:40 GMT-0400 (Eastern Daylight Time),1541,bracelet
29,4,3,previous,same,0,Wed Mar 19 2025 17:17:46 GMT-0400 (Eastern Daylight Time),1541,bracelet
30,3,3,same,same,1,Wed Mar 19 2025 17:17:50 GMT-0400 (Eastern Daylight Time),1541,bracelet
31,0,0,same,same,1,Wed Mar 19 2025 17:17:54 GMT-0400 (Eastern Daylight Time),1541,bracelet
32,2,2,same,previous,0,Wed Mar 19 2025 17:18:01 GMT-0400 (Eastern Daylight Time),1541,bracelet
33,2,3,next,previous,0,Wed Mar 19 2025 17:18:06 GMT-0400 (Eastern Daylight Time),1541,bracelet
34,2,1,previous,same,0,Wed Mar 19 2025 17:18:11 GMT-0400 (Eastern Daylight Time),1541,bracelet
35,5,5,same,same,1,Wed Mar 19 2025 17:18:15 GMT-0400 (Eastern Daylight Time),1541,bracelet
36,4,4,same,same,1,Wed Mar 19 2025 17:18:19 GMT-0400 (Eastern Daylight Time),1541,bracelet
37,4,5,next,same,0,Wed Mar 19 2025 17:18:23 GMT-0400 (Eastern Daylight Time),1541,bracelet
38,4,4,same,same,1,Wed Mar 19 2025 17:18:27 GMT-0400 (Eastern Daylight Time),1541,bracelet
39,3,3,same,same,1,Wed Mar 19 2025 17:18:31 GMT-0400 (Eastern Daylight Time),1541,bracelet
40,2,2,same,same,1,Wed Mar 19 2025 17:18:34 GMT-0400 (Eastern Daylight Time),1541,bracelet
