Trial,Motor,Response,Timestamp,PID,Device Type
1,3,3,Sat Mar 22 2025 18:07:40 GMT-0700 (Pacific Daylight Time),162,necklace
2,0,1,Sat Mar 22 2025 18:07:44 GMT-0700 (Pacific Daylight Time),162,necklace
3,2,1,Sat Mar 22 2025 18:07:47 GMT-0700 (Pacific Daylight Time),162,necklace
4,3,3,Sat Mar 22 2025 18:07:50 GMT-0700 (Pacific Daylight Time),162,necklace
5,2,1,Sat Mar 22 2025 18:07:54 GMT-0700 (Pacific Daylight Time),162,necklace
6,3,3,Sat Mar 22 2025 18:07:58 GMT-0700 (Pacific Daylight Time),162,necklace
7,0,0,Sat Mar 22 2025 18:08:00 GMT-0700 (Pacific Daylight Time),162,necklace
8,4,4,Sat Mar 22 2025 18:08:04 GMT-0700 (Pacific Daylight Time),162,necklace
9,1,1,Sat Mar 22 2025 18:08:07 GMT-0700 (Pacific Daylight Time),162,necklace
10,0,0,Sat Mar 22 2025 18:08:10 GMT-0700 (Pacific Daylight Time),162,necklace
11,4,3,Sat Mar 22 2025 18:08:14 GMT-0700 (Pacific Daylight Time),162,necklace
12,0,0,Sat Mar 22 2025 18:08:19 GMT-0700 (Pacific Daylight Time),162,necklace
13,4,4,Sat Mar 22 2025 18:08:23 GMT-0700 (Pacific Daylight Time),162,necklace
14,1,1,Sat Mar 22 2025 18:08:27 GMT-0700 (Pacific Daylight Time),162,necklace
15,4,4,Sat Mar 22 2025 18:08:30 GMT-0700 (Pacific Daylight Time),162,necklace
16,5,5,Sat Mar 22 2025 18:08:33 GMT-0700 (Pacific Daylight Time),162,necklace
17,2,1,Sat Mar 22 2025 18:08:37 GMT-0700 (Pacific Daylight Time),162,necklace
18,2,1,Sat Mar 22 2025 18:08:40 GMT-0700 (Pacific Daylight Time),162,necklace
19,2,1,Sat Mar 22 2025 18:08:43 GMT-0700 (Pacific Daylight Time),162,necklace
20,5,5,Sat Mar 22 2025 18:08:47 GMT-0700 (Pacific Daylight Time),162,necklace
21,2,1,Sat Mar 22 2025 18:08:51 GMT-0700 (Pacific Daylight Time),162,necklace
22,0,0,Sat Mar 22 2025 18:08:54 GMT-0700 (Pacific Daylight Time),162,necklace
23,3,4,Sat Mar 22 2025 18:08:58 GMT-0700 (Pacific Daylight Time),162,necklace
24,3,3,Sat Mar 22 2025 18:09:03 GMT-0700 (Pacific Daylight Time),162,necklace
25,1,0,Sat Mar 22 2025 18:09:06 GMT-0700 (Pacific Daylight Time),162,necklace
26,0,0,Sat Mar 22 2025 18:09:09 GMT-0700 (Pacific Daylight Time),162,necklace
27,1,1,Sat Mar 22 2025 18:09:12 GMT-0700 (Pacific Daylight Time),162,necklace
28,3,3,Sat Mar 22 2025 18:09:16 GMT-0700 (Pacific Daylight Time),162,necklace
29,4,5,Sat Mar 22 2025 18:09:21 GMT-0700 (Pacific Daylight Time),162,necklace
30,4,5,Sat Mar 22 2025 18:09:24 GMT-0700 (Pacific Daylight Time),162,necklace
31,0,0,Sat Mar 22 2025 18:09:27 GMT-0700 (Pacific Daylight Time),162,necklace
32,5,5,Sat Mar 22 2025 18:09:31 GMT-0700 (Pacific Daylight Time),162,necklace
33,1,1,Sat Mar 22 2025 18:09:34 GMT-0700 (Pacific Daylight Time),162,necklace
34,3,2,Sat Mar 22 2025 18:09:37 GMT-0700 (Pacific Daylight Time),162,necklace
35,5,5,Sat Mar 22 2025 18:09:40 GMT-0700 (Pacific Daylight Time),162,necklace
36,5,4,Sat Mar 22 2025 18:09:43 GMT-0700 (Pacific Daylight Time),162,necklace
37,0,0,Sat Mar 22 2025 18:09:46 GMT-0700 (Pacific Daylight Time),162,necklace
38,3,3,Sat Mar 22 2025 18:09:49 GMT-0700 (Pacific Daylight Time),162,necklace
39,5,5,Sat Mar 22 2025 18:09:53 GMT-0700 (Pacific Daylight Time),162,necklace
40,0,0,Sat Mar 22 2025 18:09:56 GMT-0700 (Pacific Daylight Time),162,necklace
41,0,1,Sat Mar 22 2025 18:10:00 GMT-0700 (Pacific Daylight Time),162,necklace
42,2,2,Sat Mar 22 2025 18:10:04 GMT-0700 (Pacific Daylight Time),162,necklace
43,1,0,Sat Mar 22 2025 18:10:07 GMT-0700 (Pacific Daylight Time),162,necklace
44,2,2,Sat Mar 22 2025 18:10:11 GMT-0700 (Pacific Daylight Time),162,necklace
45,1,1,Sat Mar 22 2025 18:10:14 GMT-0700 (Pacific Daylight Time),162,necklace
46,2,2,Sat Mar 22 2025 18:10:18 GMT-0700 (Pacific Daylight Time),162,necklace
47,5,5,Sat Mar 22 2025 18:10:21 GMT-0700 (Pacific Daylight Time),162,necklace
48,5,5,Sat Mar 22 2025 18:10:24 GMT-0700 (Pacific Daylight Time),162,necklace
49,3,3,Sat Mar 22 2025 18:10:27 GMT-0700 (Pacific Daylight Time),162,necklace
50,1,0,Sat Mar 22 2025 18:10:30 GMT-0700 (Pacific Daylight Time),162,necklace
51,1,0,Sat Mar 22 2025 18:10:34 GMT-0700 (Pacific Daylight Time),162,necklace
52,1,1,Sat Mar 22 2025 18:10:36 GMT-0700 (Pacific Daylight Time),162,necklace
53,5,5,Sat Mar 22 2025 18:10:39 GMT-0700 (Pacific Daylight Time),162,necklace
54,4,4,Sat Mar 22 2025 18:10:42 GMT-0700 (Pacific Daylight Time),162,necklace
55,2,2,Sat Mar 22 2025 18:10:47 GMT-0700 (Pacific Daylight Time),162,necklace
56,5,5,Sat Mar 22 2025 18:10:50 GMT-0700 (Pacific Daylight Time),162,necklace
57,4,4,Sat Mar 22 2025 18:10:54 GMT-0700 (Pacific Daylight Time),162,necklace
58,4,4,Sat Mar 22 2025 18:10:57 GMT-0700 (Pacific Daylight Time),162,necklace
59,3,3,Sat Mar 22 2025 18:11:00 GMT-0700 (Pacific Daylight Time),162,necklace
60,4,5,Sat Mar 22 2025 18:11:03 GMT-0700 (Pacific Daylight Time),162,necklace
