Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,5,5,same,same,1,Sat Mar 22 2025 11:37:36 GMT-0700 (Pacific Daylight Time),257,necklace
2,4,3,previous,previous,1,Sat Mar 22 2025 11:37:41 GMT-0700 (Pacific Daylight Time),257,necklace
3,2,2,same,same,1,Sat Mar 22 2025 11:37:45 GMT-0700 (Pacific Daylight Time),257,necklace
4,1,1,same,same,1,Sat Mar 22 2025 11:37:49 GMT-0700 (Pacific Daylight Time),257,necklace
5,0,0,same,same,1,Sat Mar 22 2025 11:37:54 GMT-0700 (Pacific Daylight Time),257,necklace
6,4,4,same,same,1,Sat Mar 22 2025 11:37:58 GMT-0700 (Pacific Daylight Time),257,necklace
7,4,5,next,next,1,Sat Mar 22 2025 11:38:03 GMT-0700 (Pacific Daylight Time),257,necklace
8,4,5,next,next,1,Sat Mar 22 2025 11:38:07 GMT-0700 (Pacific Daylight Time),257,necklace
9,3,3,same,same,1,Sat Mar 22 2025 11:38:12 GMT-0700 (Pacific Daylight Time),257,necklace
10,1,2,next,next,1,Sat Mar 22 2025 11:38:16 GMT-0700 (Pacific Daylight Time),257,necklace
11,5,4,previous,previous,1,Sat Mar 22 2025 11:38:22 GMT-0700 (Pacific Daylight Time),257,necklace
12,4,4,same,same,1,Sat Mar 22 2025 11:38:26 GMT-0700 (Pacific Daylight Time),257,necklace
13,0,0,same,same,1,Sat Mar 22 2025 11:38:30 GMT-0700 (Pacific Daylight Time),257,necklace
14,3,4,next,next,1,Sat Mar 22 2025 11:38:35 GMT-0700 (Pacific Daylight Time),257,necklace
15,1,2,next,next,1,Sat Mar 22 2025 11:38:39 GMT-0700 (Pacific Daylight Time),257,necklace
16,3,2,previous,previous,1,Sat Mar 22 2025 11:38:44 GMT-0700 (Pacific Daylight Time),257,necklace
17,2,2,same,same,1,Sat Mar 22 2025 11:38:48 GMT-0700 (Pacific Daylight Time),257,necklace
18,3,3,same,same,1,Sat Mar 22 2025 11:38:52 GMT-0700 (Pacific Daylight Time),257,necklace
19,3,3,same,same,1,Sat Mar 22 2025 11:38:56 GMT-0700 (Pacific Daylight Time),257,necklace
20,3,4,next,next,1,Sat Mar 22 2025 11:39:01 GMT-0700 (Pacific Daylight Time),257,necklace
21,1,0,previous,previous,1,Sat Mar 22 2025 11:39:05 GMT-0700 (Pacific Daylight Time),257,necklace
22,0,0,same,same,1,Sat Mar 22 2025 11:39:09 GMT-0700 (Pacific Daylight Time),257,necklace
23,3,2,previous,previous,1,Sat Mar 22 2025 11:39:14 GMT-0700 (Pacific Daylight Time),257,necklace
24,0,1,next,next,1,Sat Mar 22 2025 11:39:19 GMT-0700 (Pacific Daylight Time),257,necklace
25,2,2,same,same,1,Sat Mar 22 2025 11:39:23 GMT-0700 (Pacific Daylight Time),257,necklace
26,2,3,next,next,1,Sat Mar 22 2025 11:39:28 GMT-0700 (Pacific Daylight Time),257,necklace
27,2,1,previous,previous,1,Sat Mar 22 2025 11:39:33 GMT-0700 (Pacific Daylight Time),257,necklace
28,5,4,previous,previous,1,Sat Mar 22 2025 11:39:38 GMT-0700 (Pacific Daylight Time),257,necklace
29,1,1,same,same,1,Sat Mar 22 2025 11:39:42 GMT-0700 (Pacific Daylight Time),257,necklace
30,5,4,previous,previous,1,Sat Mar 22 2025 11:39:47 GMT-0700 (Pacific Daylight Time),257,necklace
31,2,3,next,next,1,Sat Mar 22 2025 11:39:51 GMT-0700 (Pacific Daylight Time),257,necklace
32,0,1,next,next,1,Sat Mar 22 2025 11:39:56 GMT-0700 (Pacific Daylight Time),257,necklace
33,0,1,next,next,1,Sat Mar 22 2025 11:40:00 GMT-0700 (Pacific Daylight Time),257,necklace
34,1,0,previous,previous,1,Sat Mar 22 2025 11:40:05 GMT-0700 (Pacific Daylight Time),257,necklace
35,5,5,same,same,1,Sat Mar 22 2025 11:40:09 GMT-0700 (Pacific Daylight Time),257,necklace
36,2,1,previous,previous,1,Sat Mar 22 2025 11:40:14 GMT-0700 (Pacific Daylight Time),257,necklace
37,4,3,previous,previous,1,Sat Mar 22 2025 11:40:18 GMT-0700 (Pacific Daylight Time),257,necklace
38,1,1,same,same,1,Sat Mar 22 2025 11:40:23 GMT-0700 (Pacific Daylight Time),257,necklace
39,4,4,same,same,1,Sat Mar 22 2025 11:40:27 GMT-0700 (Pacific Daylight Time),257,necklace
40,5,5,same,same,1,Sat Mar 22 2025 11:40:32 GMT-0700 (Pacific Daylight Time),257,necklace
