Trial,Motor,Response,Timestamp,PID,Device Type
1,3,1,Mon Mar 31 2025 17:29:21 GMT-0400 (Eastern Daylight Time),308,bracelet
2,2,2,Mon Mar 31 2025 17:29:25 GMT-0400 (Eastern Daylight Time),308,bracelet
3,2,2,Mon Mar 31 2025 17:29:27 GMT-0400 (Eastern Daylight Time),308,bracelet
4,2,2,Mon Mar 31 2025 17:29:31 GMT-0400 (Eastern Daylight Time),308,bracelet
5,1,1,Mon Mar 31 2025 17:29:34 GMT-0400 (Eastern Daylight Time),308,bracelet
6,1,1,Mon Mar 31 2025 17:29:37 GMT-0400 (Eastern Daylight Time),308,bracelet
7,3,4,Mon Mar 31 2025 17:29:41 GMT-0400 (Eastern Daylight Time),308,bracelet
8,1,1,Mon Mar 31 2025 17:29:44 GMT-0400 (Eastern Daylight Time),308,bracelet
9,1,1,Mon Mar 31 2025 17:29:46 GMT-0400 (Eastern Daylight Time),308,bracelet
10,4,3,Mon Mar 31 2025 17:29:53 GMT-0400 (Eastern Daylight Time),308,bracelet
11,5,4,Mon Mar 31 2025 17:29:56 GMT-0400 (Eastern Daylight Time),308,bracelet
12,5,4,Mon Mar 31 2025 17:29:59 GMT-0400 (Eastern Daylight Time),308,bracelet
13,3,4,Mon Mar 31 2025 17:30:02 GMT-0400 (Eastern Daylight Time),308,bracelet
14,4,4,Mon Mar 31 2025 17:30:04 GMT-0400 (Eastern Daylight Time),308,bracelet
15,0,0,Mon Mar 31 2025 17:30:07 GMT-0400 (Eastern Daylight Time),308,bracelet
16,0,0,Mon Mar 31 2025 17:30:10 GMT-0400 (Eastern Daylight Time),308,bracelet
17,4,4,Mon Mar 31 2025 17:30:14 GMT-0400 (Eastern Daylight Time),308,bracelet
18,5,4,Mon Mar 31 2025 17:30:17 GMT-0400 (Eastern Daylight Time),308,bracelet
19,4,3,Mon Mar 31 2025 17:30:22 GMT-0400 (Eastern Daylight Time),308,bracelet
20,3,3,Mon Mar 31 2025 17:30:24 GMT-0400 (Eastern Daylight Time),308,bracelet
21,1,1,Mon Mar 31 2025 17:30:27 GMT-0400 (Eastern Daylight Time),308,bracelet
22,3,3,Mon Mar 31 2025 17:30:30 GMT-0400 (Eastern Daylight Time),308,bracelet
23,4,4,Mon Mar 31 2025 17:30:33 GMT-0400 (Eastern Daylight Time),308,bracelet
24,3,3,Mon Mar 31 2025 17:30:36 GMT-0400 (Eastern Daylight Time),308,bracelet
25,0,0,Mon Mar 31 2025 17:30:42 GMT-0400 (Eastern Daylight Time),308,bracelet
26,3,2,Mon Mar 31 2025 17:30:46 GMT-0400 (Eastern Daylight Time),308,bracelet
27,5,5,Mon Mar 31 2025 17:30:49 GMT-0400 (Eastern Daylight Time),308,bracelet
28,1,2,Mon Mar 31 2025 17:30:53 GMT-0400 (Eastern Daylight Time),308,bracelet
29,3,2,Mon Mar 31 2025 17:30:56 GMT-0400 (Eastern Daylight Time),308,bracelet
30,0,1,Mon Mar 31 2025 17:30:59 GMT-0400 (Eastern Daylight Time),308,bracelet
31,2,1,Mon Mar 31 2025 17:31:02 GMT-0400 (Eastern Daylight Time),308,bracelet
32,4,3,Mon Mar 31 2025 17:31:06 GMT-0400 (Eastern Daylight Time),308,bracelet
33,0,0,Mon Mar 31 2025 17:31:09 GMT-0400 (Eastern Daylight Time),308,bracelet
34,2,1,Mon Mar 31 2025 17:31:36 GMT-0400 (Eastern Daylight Time),308,bracelet
35,3,2,Mon Mar 31 2025 17:31:38 GMT-0400 (Eastern Daylight Time),308,bracelet
36,5,4,Mon Mar 31 2025 17:31:41 GMT-0400 (Eastern Daylight Time),308,bracelet
37,4,3,Mon Mar 31 2025 17:31:44 GMT-0400 (Eastern Daylight Time),308,bracelet
38,1,1,Mon Mar 31 2025 17:31:47 GMT-0400 (Eastern Daylight Time),308,bracelet
39,0,0,Mon Mar 31 2025 17:31:50 GMT-0400 (Eastern Daylight Time),308,bracelet
40,5,4,Mon Mar 31 2025 17:31:53 GMT-0400 (Eastern Daylight Time),308,bracelet
41,2,3,Mon Mar 31 2025 17:31:56 GMT-0400 (Eastern Daylight Time),308,bracelet
42,2,2,Mon Mar 31 2025 17:32:21 GMT-0400 (Eastern Daylight Time),308,bracelet
43,3,2,Mon Mar 31 2025 17:32:23 GMT-0400 (Eastern Daylight Time),308,bracelet
44,1,1,Mon Mar 31 2025 17:32:26 GMT-0400 (Eastern Daylight Time),308,bracelet
45,0,0,Mon Mar 31 2025 17:32:29 GMT-0400 (Eastern Daylight Time),308,bracelet
46,0,0,Mon Mar 31 2025 17:32:31 GMT-0400 (Eastern Daylight Time),308,bracelet
47,4,4,Mon Mar 31 2025 17:32:34 GMT-0400 (Eastern Daylight Time),308,bracelet
48,2,2,Mon Mar 31 2025 17:32:37 GMT-0400 (Eastern Daylight Time),308,bracelet
49,2,1,Mon Mar 31 2025 17:32:40 GMT-0400 (Eastern Daylight Time),308,bracelet
50,5,4,Mon Mar 31 2025 17:32:43 GMT-0400 (Eastern Daylight Time),308,bracelet
51,5,4,Mon Mar 31 2025 17:32:45 GMT-0400 (Eastern Daylight Time),308,bracelet
52,0,0,Mon Mar 31 2025 17:32:48 GMT-0400 (Eastern Daylight Time),308,bracelet
53,4,3,Mon Mar 31 2025 17:32:52 GMT-0400 (Eastern Daylight Time),308,bracelet
54,1,1,Mon Mar 31 2025 17:32:55 GMT-0400 (Eastern Daylight Time),308,bracelet
55,1,1,Mon Mar 31 2025 17:32:57 GMT-0400 (Eastern Daylight Time),308,bracelet
56,4,3,Mon Mar 31 2025 17:33:00 GMT-0400 (Eastern Daylight Time),308,bracelet
57,2,1,Mon Mar 31 2025 17:33:03 GMT-0400 (Eastern Daylight Time),308,bracelet
58,5,5,Mon Mar 31 2025 17:33:06 GMT-0400 (Eastern Daylight Time),308,bracelet
59,0,1,Mon Mar 31 2025 17:33:09 GMT-0400 (Eastern Daylight Time),308,bracelet
60,5,5,Mon Mar 31 2025 17:33:11 GMT-0400 (Eastern Daylight Time),308,bracelet
