Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,2,2,same,same,1,Sat Mar 29 2025 18:35:13 GMT-0700 (Pacific Daylight Time),379,overear
2,5,4,previous,previous,1,Sat Mar 29 2025 18:35:19 GMT-0700 (Pacific Daylight Time),379,overear
3,4,3,previous,next,0,Sat Mar 29 2025 18:35:25 GMT-0700 (Pacific Daylight Time),379,overear
4,4,5,next,next,1,Sat Mar 29 2025 18:35:29 GMT-0700 (Pacific Daylight Time),379,overear
5,0,0,same,same,1,Sat Mar 29 2025 18:35:35 GMT-0700 (Pacific Daylight Time),379,overear
6,1,1,same,previous,0,Sat Mar 29 2025 18:35:39 GMT-0700 (Pacific Daylight Time),379,overear
7,0,0,same,next,0,Sat Mar 29 2025 18:35:43 GMT-0700 (Pacific Daylight Time),379,overear
8,4,4,same,same,1,Sat Mar 29 2025 18:35:49 GMT-0700 (Pacific Daylight Time),379,overear
9,1,0,previous,same,0,Sat Mar 29 2025 18:35:56 GMT-0700 (Pacific Daylight Time),379,overear
10,5,5,same,same,1,Sat Mar 29 2025 18:36:01 GMT-0700 (Pacific Daylight Time),379,overear
11,3,4,next,next,1,Sat Mar 29 2025 18:36:05 GMT-0700 (Pacific Daylight Time),379,overear
12,3,3,same,same,1,Sat Mar 29 2025 18:36:10 GMT-0700 (Pacific Daylight Time),379,overear
13,4,4,same,same,1,Sat Mar 29 2025 18:36:14 GMT-0700 (Pacific Daylight Time),379,overear
14,1,1,same,same,1,Sat Mar 29 2025 18:36:18 GMT-0700 (Pacific Daylight Time),379,overear
15,4,5,next,previous,0,Sat Mar 29 2025 18:36:23 GMT-0700 (Pacific Daylight Time),379,overear
16,0,1,next,next,1,Sat Mar 29 2025 18:36:28 GMT-0700 (Pacific Daylight Time),379,overear
17,2,1,previous,same,0,Sat Mar 29 2025 18:36:32 GMT-0700 (Pacific Daylight Time),379,overear
18,1,2,next,next,1,Sat Mar 29 2025 18:36:36 GMT-0700 (Pacific Daylight Time),379,overear
19,1,2,next,next,1,Sat Mar 29 2025 18:36:40 GMT-0700 (Pacific Daylight Time),379,overear
20,4,3,previous,next,0,Sat Mar 29 2025 18:36:47 GMT-0700 (Pacific Daylight Time),379,overear
21,3,3,same,same,1,Sat Mar 29 2025 18:36:52 GMT-0700 (Pacific Daylight Time),379,overear
22,2,2,same,same,1,Sat Mar 29 2025 18:36:57 GMT-0700 (Pacific Daylight Time),379,overear
23,5,4,previous,same,0,Sat Mar 29 2025 18:37:02 GMT-0700 (Pacific Daylight Time),379,overear
24,2,3,next,next,1,Sat Mar 29 2025 18:37:07 GMT-0700 (Pacific Daylight Time),379,overear
25,2,3,next,next,1,Sat Mar 29 2025 18:37:11 GMT-0700 (Pacific Daylight Time),379,overear
26,3,3,same,next,0,Sat Mar 29 2025 18:37:15 GMT-0700 (Pacific Daylight Time),379,overear
27,5,5,same,same,1,Sat Mar 29 2025 18:37:20 GMT-0700 (Pacific Daylight Time),379,overear
28,1,0,previous,same,0,Sat Mar 29 2025 18:37:25 GMT-0700 (Pacific Daylight Time),379,overear
29,3,2,previous,previous,1,Sat Mar 29 2025 18:37:29 GMT-0700 (Pacific Daylight Time),379,overear
30,0,0,same,same,1,Sat Mar 29 2025 18:37:34 GMT-0700 (Pacific Daylight Time),379,overear
31,4,4,same,same,1,Sat Mar 29 2025 18:37:39 GMT-0700 (Pacific Daylight Time),379,overear
32,0,1,next,next,1,Sat Mar 29 2025 18:37:44 GMT-0700 (Pacific Daylight Time),379,overear
33,3,4,next,next,1,Sat Mar 29 2025 18:37:48 GMT-0700 (Pacific Daylight Time),379,overear
34,5,4,previous,same,0,Sat Mar 29 2025 18:37:53 GMT-0700 (Pacific Daylight Time),379,overear
35,2,2,same,same,1,Sat Mar 29 2025 18:37:57 GMT-0700 (Pacific Daylight Time),379,overear
36,1,1,same,same,1,Sat Mar 29 2025 18:38:02 GMT-0700 (Pacific Daylight Time),379,overear
37,2,1,previous,previous,1,Sat Mar 29 2025 18:38:06 GMT-0700 (Pacific Daylight Time),379,overear
38,5,5,same,same,1,Sat Mar 29 2025 18:38:10 GMT-0700 (Pacific Daylight Time),379,overear
39,3,2,previous,previous,1,Sat Mar 29 2025 18:38:15 GMT-0700 (Pacific Daylight Time),379,overear
40,0,1,next,next,1,Sat Mar 29 2025 18:38:19 GMT-0700 (Pacific Daylight Time),379,overear
