Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,0,1,next,next,1,Sun Mar 16 2025 22:04:41 GMT-0400 (Eastern Daylight Time),545,bracelet
2,1,0,previous,previous,1,Sun Mar 16 2025 22:04:46 GMT-0400 (Eastern Daylight Time),545,bracelet
3,2,3,next,next,1,Sun Mar 16 2025 22:04:50 GMT-0400 (Eastern Daylight Time),545,bracelet
4,1,0,previous,previous,1,Sun Mar 16 2025 22:04:55 GMT-0400 (Eastern Daylight Time),545,bracelet
5,4,4,same,next,0,Sun Mar 16 2025 22:04:59 GMT-0400 (Eastern Daylight Time),545,bracelet
6,5,4,previous,previous,1,Sun Mar 16 2025 22:05:04 GMT-0400 (Eastern Daylight Time),545,bracelet
7,0,1,next,next,1,Sun Mar 16 2025 22:05:09 GMT-0400 (Eastern Daylight Time),545,bracelet
8,5,4,previous,previous,1,Sun Mar 16 2025 22:05:13 GMT-0400 (Eastern Daylight Time),545,bracelet
9,4,3,previous,previous,1,Sun Mar 16 2025 22:05:17 GMT-0400 (Eastern Daylight Time),545,bracelet
10,2,2,same,same,1,Sun Mar 16 2025 22:05:22 GMT-0400 (Eastern Daylight Time),545,bracelet
11,3,3,same,same,1,Sun Mar 16 2025 22:05:26 GMT-0400 (Eastern Daylight Time),545,bracelet
12,1,2,next,next,1,Sun Mar 16 2025 22:05:31 GMT-0400 (Eastern Daylight Time),545,bracelet
13,5,5,same,same,1,Sun Mar 16 2025 22:05:35 GMT-0400 (Eastern Daylight Time),545,bracelet
14,3,3,same,same,1,Sun Mar 16 2025 22:05:39 GMT-0400 (Eastern Daylight Time),545,bracelet
15,3,4,next,same,0,Sun Mar 16 2025 22:05:44 GMT-0400 (Eastern Daylight Time),545,bracelet
16,2,2,same,same,1,Sun Mar 16 2025 22:05:48 GMT-0400 (Eastern Daylight Time),545,bracelet
17,3,3,same,same,1,Sun Mar 16 2025 22:05:53 GMT-0400 (Eastern Daylight Time),545,bracelet
18,2,3,next,next,1,Sun Mar 16 2025 22:06:52 GMT-0400 (Eastern Daylight Time),545,bracelet
19,3,4,next,same,0,Sun Mar 16 2025 22:07:02 GMT-0400 (Eastern Daylight Time),545,bracelet
20,4,5,next,next,1,Sun Mar 16 2025 22:07:11 GMT-0400 (Eastern Daylight Time),545,bracelet
21,1,2,next,next,1,Sun Mar 16 2025 22:07:18 GMT-0400 (Eastern Daylight Time),545,bracelet
22,2,2,same,same,1,Sun Mar 16 2025 22:07:28 GMT-0400 (Eastern Daylight Time),545,bracelet
23,5,4,previous,previous,1,Sun Mar 16 2025 22:07:32 GMT-0400 (Eastern Daylight Time),545,bracelet
24,2,1,previous,previous,1,Sun Mar 16 2025 22:07:36 GMT-0400 (Eastern Daylight Time),545,bracelet
25,3,2,previous,previous,1,Sun Mar 16 2025 22:07:40 GMT-0400 (Eastern Daylight Time),545,bracelet
26,0,0,same,same,1,Sun Mar 16 2025 22:07:44 GMT-0400 (Eastern Daylight Time),545,bracelet
27,4,5,next,next,1,Sun Mar 16 2025 22:07:49 GMT-0400 (Eastern Daylight Time),545,bracelet
28,0,0,same,same,1,Sun Mar 16 2025 22:07:53 GMT-0400 (Eastern Daylight Time),545,bracelet
29,4,4,same,same,1,Sun Mar 16 2025 22:07:58 GMT-0400 (Eastern Daylight Time),545,bracelet
30,5,5,same,same,1,Sun Mar 16 2025 22:08:02 GMT-0400 (Eastern Daylight Time),545,bracelet
31,4,3,previous,previous,1,Sun Mar 16 2025 22:08:06 GMT-0400 (Eastern Daylight Time),545,bracelet
32,0,0,same,same,1,Sun Mar 16 2025 22:08:10 GMT-0400 (Eastern Daylight Time),545,bracelet
33,1,1,same,same,1,Sun Mar 16 2025 22:08:14 GMT-0400 (Eastern Daylight Time),545,bracelet
34,0,1,next,next,1,Sun Mar 16 2025 22:08:18 GMT-0400 (Eastern Daylight Time),545,bracelet
35,1,1,same,same,1,Sun Mar 16 2025 22:08:22 GMT-0400 (Eastern Daylight Time),545,bracelet
36,4,4,same,same,1,Sun Mar 16 2025 22:08:26 GMT-0400 (Eastern Daylight Time),545,bracelet
37,2,1,previous,previous,1,Sun Mar 16 2025 22:08:30 GMT-0400 (Eastern Daylight Time),545,bracelet
38,3,2,previous,same,0,Sun Mar 16 2025 22:08:34 GMT-0400 (Eastern Daylight Time),545,bracelet
39,1,1,same,same,1,Sun Mar 16 2025 22:08:38 GMT-0400 (Eastern Daylight Time),545,bracelet
40,5,5,same,same,1,Sun Mar 16 2025 22:08:41 GMT-0400 (Eastern Daylight Time),545,bracelet
