Trial,FirstMotor,SecondMotor,ActualOption,ResponseOption,Correct,Timestamp,PID,DeviceType
1,1,1,same,same,1,Sun Mar 16 2025 22:24:15 GMT-0400 (Eastern Daylight Time),545,necklace
2,0,0,same,same,1,Sun Mar 16 2025 22:24:19 GMT-0400 (Eastern Daylight Time),545,necklace
3,4,4,same,same,1,Sun Mar 16 2025 22:24:23 GMT-0400 (Eastern Daylight Time),545,necklace
4,2,3,next,next,1,Sun Mar 16 2025 22:24:27 GMT-0400 (Eastern Daylight Time),545,necklace
5,4,5,next,next,1,Sun Mar 16 2025 22:24:31 GMT-0400 (Eastern Daylight Time),545,necklace
6,5,4,previous,previous,1,Sun Mar 16 2025 22:24:35 GMT-0400 (Eastern Daylight Time),545,necklace
7,0,0,same,same,1,Sun Mar 16 2025 22:24:39 GMT-0400 (Eastern Daylight Time),545,necklace
8,1,2,next,previous,0,Sun Mar 16 2025 22:24:42 GMT-0400 (Eastern Daylight Time),545,necklace
9,0,0,same,same,1,Sun Mar 16 2025 22:24:46 GMT-0400 (Eastern Daylight Time),545,necklace
10,0,1,next,next,1,Sun Mar 16 2025 22:24:50 GMT-0400 (Eastern Daylight Time),545,necklace
11,2,1,previous,previous,1,Sun Mar 16 2025 22:24:54 GMT-0400 (Eastern Daylight Time),545,necklace
12,4,5,next,next,1,Sun Mar 16 2025 22:24:58 GMT-0400 (Eastern Daylight Time),545,necklace
13,2,1,previous,previous,1,Sun Mar 16 2025 22:25:02 GMT-0400 (Eastern Daylight Time),545,necklace
14,3,3,same,previous,0,Sun Mar 16 2025 22:25:07 GMT-0400 (Eastern Daylight Time),545,necklace
15,0,1,next,next,1,Sun Mar 16 2025 22:25:11 GMT-0400 (Eastern Daylight Time),545,necklace
16,3,2,previous,previous,1,Sun Mar 16 2025 22:25:15 GMT-0400 (Eastern Daylight Time),545,necklace
17,3,3,same,same,1,Sun Mar 16 2025 22:25:19 GMT-0400 (Eastern Daylight Time),545,necklace
18,1,1,same,same,1,Sun Mar 16 2025 22:25:23 GMT-0400 (Eastern Daylight Time),545,necklace
19,2,2,same,same,1,Sun Mar 16 2025 22:25:27 GMT-0400 (Eastern Daylight Time),545,necklace
20,5,5,same,same,1,Sun Mar 16 2025 22:25:31 GMT-0400 (Eastern Daylight Time),545,necklace
21,1,0,previous,previous,1,Sun Mar 16 2025 22:25:36 GMT-0400 (Eastern Daylight Time),545,necklace
22,2,2,same,same,1,Sun Mar 16 2025 22:25:39 GMT-0400 (Eastern Daylight Time),545,necklace
23,5,5,same,same,1,Sun Mar 16 2025 22:25:43 GMT-0400 (Eastern Daylight Time),545,necklace
24,4,3,previous,previous,1,Sun Mar 16 2025 22:25:47 GMT-0400 (Eastern Daylight Time),545,necklace
25,2,2,same,same,1,Sun Mar 16 2025 22:25:51 GMT-0400 (Eastern Daylight Time),545,necklace
26,3,4,next,next,1,Sun Mar 16 2025 22:25:55 GMT-0400 (Eastern Daylight Time),545,necklace
27,4,4,same,same,1,Sun Mar 16 2025 22:25:58 GMT-0400 (Eastern Daylight Time),545,necklace
28,3,4,next,next,1,Sun Mar 16 2025 22:26:02 GMT-0400 (Eastern Daylight Time),545,necklace
29,1,2,next,next,1,Sun Mar 16 2025 22:26:07 GMT-0400 (Eastern Daylight Time),545,necklace
30,1,0,previous,previous,1,Sun Mar 16 2025 22:26:11 GMT-0400 (Eastern Daylight Time),545,necklace
31,4,3,previous,previous,1,Sun Mar 16 2025 22:26:15 GMT-0400 (Eastern Daylight Time),545,necklace
32,0,1,next,next,1,Sun Mar 16 2025 22:26:19 GMT-0400 (Eastern Daylight Time),545,necklace
33,3,3,same,same,1,Sun Mar 16 2025 22:26:23 GMT-0400 (Eastern Daylight Time),545,necklace
34,5,4,previous,same,0,Sun Mar 16 2025 22:26:27 GMT-0400 (Eastern Daylight Time),545,necklace
35,4,4,same,next,0,Sun Mar 16 2025 22:26:31 GMT-0400 (Eastern Daylight Time),545,necklace
36,5,4,previous,previous,1,Sun Mar 16 2025 22:26:35 GMT-0400 (Eastern Daylight Time),545,necklace
37,5,5,same,same,1,Sun Mar 16 2025 22:26:38 GMT-0400 (Eastern Daylight Time),545,necklace
38,3,2,previous,previous,1,Sun Mar 16 2025 22:26:42 GMT-0400 (Eastern Daylight Time),545,necklace
39,2,3,next,next,1,Sun Mar 16 2025 22:26:46 GMT-0400 (Eastern Daylight Time),545,necklace
40,1,1,same,same,1,Sun Mar 16 2025 22:26:50 GMT-0400 (Eastern Daylight Time),545,necklace
